Economy,Year,Economy Code,"Adolescent fertility rate (births per 1,000 women ages 15-19)"
Afghanistan,2015,AFG,81.043
Albania,2015,ALB,20.656
Algeria,2015,DZA,10.294
American Samoa,2015,ASM,42.174
Andorra,2015,AND,4.936
Angola,2015,AGO,150.244
Antigua and Barbuda,2015,ATG,35.946
Argentina,2015,ARG,63.879
Armenia,2015,ARM,25.103
Aruba,2015,ABW,32.348
Australia,2015,AUS,12.038
Austria,2015,AUT,7.848
Azerbaijan,2015,AZE,62.697
"Bahamas, The",2015,BHS,30.834
Bahrain,2015,BHR,15.090
Bangladesh,2015,BGD,89.274
Barbados,2015,BRB,45.545
Belarus,2015,BLR,18.336
Belgium,2015,BEL,6.659
Belize,2015,BLZ,70.220
Benin,2015,BEN,96.339
Bermuda,2015,BMU,6.177
Bhutan,2015,BTN,16.456
Bolivia,2015,BOL,72.732
Bosnia and Herzegovina,2015,BIH,10.818
Botswana,2015,BWA,57.159
Brazil,2015,BRA,61.779
British Virgin Islands,2015,VGB,19.456
Brunei Darussalam,2015,BRN,11.886
Bulgaria,2015,BGR,39.085
Burkina Faso,2015,BFA,119.405
Burundi,2015,BDI,62.718
Cabo Verde,2015,CPV,57.973
Cambodia,2015,KHM,53.572
Cameroon,2015,CMR,119.736
Canada,2015,CAN,9.714
Cayman Islands,2015,CYM,15.304
Central African Republic,2015,CAF,164.079
Chad,2015,TCD,162.090
Channel Islands,2015,CHI,12.386
Chile,2015,CHL,39.444
China,2015,CHN,10.887
Colombia,2015,COL,69.785
Comoros,2015,COM,64.414
"Congo, Dem. Rep.",2015,COD,115.839
"Congo, Rep.",2015,COG,120.682
Costa Rica,2015,CRI,56.579
Cote d'Ivoire,2015,CIV,116.181
Croatia,2015,HRV,9.834
Cuba,2015,CUB,50.121
Curacao,2015,CUW,29.521
Cyprus,2015,CYP,5.492
Czechia,2015,CZE,11.860
Denmark,2015,DNK,3.524
Djibouti,2015,DJI,21.490
Dominica,2015,DMA,39.680
Dominican Republic,2015,DOM,83.159
Ecuador,2015,ECU,79.356
"Egypt, Arab Rep.",2015,EGY,57.090
El Salvador,2015,SLV,69.315
Equatorial Guinea,2015,GNQ,169.671
Eritrea,2015,ERI,72.661
Estonia,2015,EST,12.829
Eswatini,2015,SWZ,77.016
Ethiopia,2015,ETH,79.432
Faroe Islands,2015,FRO,9.544
Fiji,2015,FJI,23.729
Finland,2015,FIN,6.394
France,2015,FRA,8.176
French Polynesia,2015,PYF,36.974
Gabon,2015,GAB,101.746
"Gambia, The",2015,GMB,76.888
Georgia,2015,GEO,48.127
Germany,2015,DEU,8.115
Ghana,2015,GHA,72.481
Gibraltar,2015,GIB,10.050
Greece,2015,GRC,8.421
Greenland,2015,GRL,40.371
Grenada,2015,GRD,35.822
Guam,2015,GUM,40.978
Guatemala,2015,GTM,85.762
Guinea,2015,GIN,129.659
Guinea-Bissau,2015,GNB,98.391
Guyana,2015,GUY,80.084
Haiti,2015,HTI,57.300
Honduras,2015,HND,88.093
"Hong Kong SAR, China",2015,HKG,3.307
Hungary,2015,HUN,23.655
Iceland,2015,ISL,7.514
India,2015,IND,18.194
Indonesia,2015,IDN,37.861
"Iran, Islamic Rep.",2015,IRN,37.413
Iraq,2015,IRQ,76.418
Ireland,2015,IRL,8.018
Isle of Man,2015,IMN,10.541
Israel,2015,ISR,9.672
Italy,2015,ITA,5.137
Jamaica,2015,JAM,45.190
Japan,2015,JPN,4.040
Jordan,2015,JOR,30.428
Kazakhstan,2015,KAZ,31.993
Kenya,2015,KEN,81.864
Kiribati,2015,KIR,49.505
"Korea, Dem. People's Rep.",2015,PRK,0.602
"Korea, Rep.",2015,KOR,1.638
Kosovo,2015,XKX,9.822
Kuwait,2015,KWT,7.421
Kyrgyz Republic,2015,KGZ,42.837
Lao PDR,2015,LAO,84.784
Latvia,2015,LVA,17.649
Lebanon,2015,LBN,22.693
Lesotho,2015,LSO,83.902
Liberia,2015,LBR,140.319
Libya,2015,LBY,7.413
Liechtenstein,2015,LIE,2.364
Lithuania,2015,LTU,14.542
Luxembourg,2015,LUX,5.339
"Macao SAR, China",2015,MAC,2.276
Madagascar,2015,MDG,135.560
Malawi,2015,MWI,128.196
Malaysia,2015,MYS,11.778
Maldives,2015,MDV,11.718
Mali,2015,MLI,159.124
Malta,2015,MLT,12.707
Marshall Islands,2015,MHL,73.945
Mauritania,2015,MRT,98.982
Mauritius,2015,MUS,23.288
Mexico,2015,MEX,69.335
"Micronesia, Fed. Sts.",2015,FSM,47.592
Moldova,2015,MDA,35.702
Monaco,2015,MCO,10.696
Mongolia,2015,MNG,30.260
Montenegro,2015,MNE,11.241
Morocco,2015,MAR,28.756
Mozambique,2015,MOZ,168.903
Myanmar,2015,MMR,35.166
Namibia,2015,NAM,75.199
Nauru,2015,NRU,91.550
Nepal,2015,NPL,81.619
Netherlands,2015,NLD,3.180
New Caledonia,2015,NCL,18.023
New Zealand,2015,NZL,18.773
Nicaragua,2015,NIC,102.074
Niger,2015,NER,178.400
Nigeria,2015,NGA,114.881
North Macedonia,2015,MKD,19.165
Northern Mariana Islands,2015,MNP,36.233
Norway,2015,NOR,4.574
Oman,2015,OMN,14.950
Pakistan,2015,PAK,48.676
Palau,2015,PLW,27.059
Panama,2015,PAN,86.634
Papua New Guinea,2015,PNG,61.738
Paraguay,2015,PRY,76.887
Peru,2015,PER,55.100
Philippines,2015,PHL,53.606
Poland,2015,POL,12.735
Portugal,2015,PRT,8.286
Puerto Rico,2015,PRI,34.699
Qatar,2015,QAT,10.624
Romania,2015,ROU,36.490
Russian Federation,2015,RUS,24.730
Rwanda,2015,RWA,38.552
Samoa,2015,WSM,50.433
San Marino,2015,SMR,1.287
Sao Tome and Principe,2015,STP,101.935
Saudi Arabia,2015,SAU,15.177
Senegal,2015,SEN,73.585
Serbia,2015,SRB,16.947
Seychelles,2015,SYC,57.655
Sierra Leone,2015,SLE,116.299
Singapore,2015,SGP,2.568
Sint Maarten (Dutch part),2015,SXM,27.801
Slovak Republic,2015,SVK,24.272
Slovenia,2015,SVN,4.584
Solomon Islands,2015,SLB,59.461
Somalia,2015,SOM,132.239
South Africa,2015,ZAF,67.979
South Sudan,2015,SSD,106.804
Spain,2015,ESP,7.666
Sri Lanka,2015,LKA,17.041
St. Kitts and Nevis,2015,KNA,40.355
St. Lucia,2015,LCA,36.925
St. Martin (French part),2015,MAF,18.338
St. Vincent and the Grenadines,2015,VCT,61.413
Sudan,2015,SDN,79.665
Suriname,2015,SUR,59.856
Sweden,2015,SWE,4.706
Switzerland,2015,CHE,2.760
Syrian Arab Republic,2015,SYR,42.692
Tajikistan,2015,TJK,49.401
Tanzania,2015,TZA,122.757
Thailand,2015,THA,48.671
Timor-Leste,2015,TLS,36.793
Togo,2015,TGO,84.562
Tonga,2015,TON,25.571
Trinidad and Tobago,2015,TTO,39.044
Tunisia,2015,TUN,8.778
Turkiye,2015,TUR,25.639
Turkmenistan,2015,TKM,28.691
Turks and Caicos Islands,2015,TCA,22.960
Tuvalu,2015,TUV,32.658
Uganda,2015,UGA,126.116
Ukraine,2015,UKR,26.161
United Arab Emirates,2015,ARE,5.432
United Kingdom,2015,GBR,14.712
United States,2015,USA,22.031
Uruguay,2015,URY,55.906
Uzbekistan,2015,UZB,25.309
Vanuatu,2015,VUT,74.415
"Venezuela, RB",2015,VEN,88.531
Vietnam,2015,VNM,41.676
Virgin Islands (U.S.),2015,VIR,37.975
West Bank and Gaza,2015,PSE,47.778
"Yemen, Rep.",2015,YEM,72.652
Zambia,2015,ZMB,128.133
Zimbabwe,2015,ZWE,102.702
