Economy,Year,Economy Code,"Life expectancy at birth, total (years)"
Afghanistan,2019,AFG,62.941
Albania,2019,ALB,79.467
Algeria,2019,DZA,75.682
American Samoa,2019,ASM,72.751
Andorra,2019,AND,84.098
Angola,2019,AGO,63.051
Antigua and Barbuda,2019,ATG,77.168
Argentina,2019,ARG,76.847
Armenia,2019,ARM,76.222
Aruba,2019,ABW,76.019
Australia,2019,AUS,82.900
Austria,2019,AUT,81.895
Azerbaijan,2019,AZE,73.290
"Bahamas, The",2019,BHS,71.408
Bahrain,2019,BHR,80.471
Bangladesh,2019,BGD,72.625
Barbados,2019,BRB,76.495
Belarus,2019,BLR,74.227
Belgium,2019,BEL,81.995
Belize,2019,BLZ,72.577
Benin,2019,BEN,59.888
Bermuda,2019,BMU,81.251
Bhutan,2019,BTN,72.005
Bolivia,2019,BOL,67.820
Bosnia and Herzegovina,2019,BIH,77.394
Botswana,2019,BWA,67.167
Brazil,2019,BRA,75.809
British Virgin Islands,2019,VGB,76.845
Brunei Darussalam,2019,BRN,75.049
Bulgaria,2019,BGR,75.112
Burkina Faso,2019,BFA,60.184
Burundi,2019,BDI,62.180
Cabo Verde,2019,CPV,75.449
Cambodia,2019,KHM,70.127
Cameroon,2019,CMR,61.695
Canada,2019,CAN,82.164
Cayman Islands,2019,CYM,79.052
Central African Republic,2019,CAF,31.530
Chad,2019,TCD,52.993
Channel Islands,2019,CHI,81.200
Chile,2019,CHL,80.324
China,2019,CHN,77.940
Colombia,2019,COL,76.793
Comoros,2019,COM,65.662
"Congo, Dem. Rep.",2019,COD,60.242
"Congo, Rep.",2019,COG,63.152
Costa Rica,2019,CRI,80.296
Cote d'Ivoire,2019,CIV,60.274
Croatia,2019,HRV,78.224
Cuba,2019,CUB,77.413
Curacao,2019,CUW,76.492
Cyprus,2019,CYP,81.454
Czechia,2019,CZE,79.229
Denmark,2019,DNK,81.451
Djibouti,2019,DJI,64.381
Dominica,2019,DMA,71.305
Dominican Republic,2019,DOM,73.112
Ecuador,2019,ECU,77.286
"Egypt, Arab Rep.",2019,EGY,71.213
El Salvador,2019,SLV,71.725
Equatorial Guinea,2019,GNQ,62.297
Eritrea,2019,ERI,67.306
Estonia,2019,EST,78.646
Eswatini,2019,SWZ,59.850
Ethiopia,2019,ETH,65.741
Faroe Islands,2019,FRO,82.444
Fiji,2019,FJI,67.009
Finland,2019,FIN,81.983
France,2019,FRA,82.827
French Polynesia,2019,PYF,83.195
Gabon,2019,GAB,67.337
"Gambia, The",2019,GMB,64.427
Georgia,2019,GEO,74.165
Germany,2019,DEU,81.293
Ghana,2019,GHA,64.455
Gibraltar,2019,GIB,83.183
Greece,2019,GRC,81.639
Greenland,2019,GRL,71.944
Grenada,2019,GRD,74.971
Guam,2019,GUM,76.645
Guatemala,2019,GTM,71.639
Guinea,2019,GIN,59.379
Guinea-Bissau,2019,GNB,62.161
Guyana,2019,GUY,69.067
Haiti,2019,HTI,64.328
Honduras,2019,HND,72.124
"Hong Kong SAR, China",2019,HKG,85.156
Hungary,2019,HUN,76.320
Iceland,2019,ISL,83.163
India,2019,IND,70.746
Indonesia,2019,IDN,70.349
"Iran, Islamic Rep.",2019,IRN,76.855
Iraq,2019,IRQ,71.245
Ireland,2019,IRL,82.702
Isle of Man,2019,IMN,80.740
Israel,2019,ISR,82.805
Italy,2019,ITA,83.498
Jamaica,2019,JAM,71.532
Japan,2019,JPN,84.356
Jordan,2019,JOR,76.865
Kazakhstan,2019,KAZ,73.658
Kenya,2019,KEN,62.939
Kiribati,2019,KIR,65.866
"Korea, Dem. People's Rep.",2019,PRK,72.928
"Korea, Rep.",2019,KOR,83.227
Kosovo,2019,XKX,77.249
Kuwait,2019,KWT,81.970
Kyrgyz Republic,2019,KGZ,71.600
Lao PDR,2019,LAO,67.911
Latvia,2019,LVA,75.388
Lebanon,2019,LBN,78.208
Lesotho,2019,LSO,55.249
Liberia,2019,LBR,61.232
Libya,2019,LBY,72.941
Liechtenstein,2019,LIE,84.161
Lithuania,2019,LTU,76.283
Luxembourg,2019,LUX,82.639
"Macao SAR, China",2019,MAC,83.929
Madagascar,2019,MDG,63.504
Malawi,2019,MWI,64.995
Malaysia,2019,MYS,75.900
Maldives,2019,MDV,79.707
Mali,2019,MLI,59.217
Malta,2019,MLT,82.659
Marshall Islands,2019,MHL,66.047
Mauritania,2019,MRT,67.640
Mauritius,2019,MUS,74.236
Mexico,2019,MEX,74.530
"Micronesia, Fed. Sts.",2019,FSM,66.196
Moldova,2019,MDA,70.181
Monaco,2019,MCO,86.151
Mongolia,2019,MNG,71.053
Montenegro,2019,MNE,76.683
Morocco,2019,MAR,74.245
Mozambique,2019,MOZ,61.306
Myanmar,2019,MMR,66.457
Namibia,2019,NAM,63.546
Nauru,2019,NRU,61.393
Nepal,2019,NPL,69.299
Netherlands,2019,NLD,82.112
New Caledonia,2019,NCL,77.262
New Zealand,2019,NZL,82.056
Nicaragua,2019,NIC,73.764
Niger,2019,NER,60.031
Nigeria,2019,NGA,53.009
North Macedonia,2019,MKD,76.602
Northern Mariana Islands,2019,MNP,77.844
Norway,2019,NOR,82.959
Oman,2019,OMN,79.946
Pakistan,2019,PAK,66.729
Palau,2019,PLW,68.982
Panama,2019,PAN,78.514
Papua New Guinea,2019,PNG,65.331
Paraguay,2019,PRY,73.668
Peru,2019,PER,76.275
Philippines,2019,PHL,69.680
Poland,2019,POL,77.905
Portugal,2019,PRT,81.676
Puerto Rico,2019,PRI,81.438
Qatar,2019,QAT,82.945
Romania,2019,ROU,75.607
Russian Federation,2019,RUS,73.084
Rwanda,2019,RWA,66.691
Samoa,2019,WSM,70.269
San Marino,2019,SMR,85.257
Sao Tome and Principe,2019,STP,68.043
Saudi Arabia,2019,SAU,78.313
Senegal,2019,SEN,67.668
Serbia,2019,SRB,75.937
Seychelles,2019,SYC,74.046
Sierra Leone,2019,SLE,59.593
Singapore,2019,SGP,83.595
Sint Maarten (Dutch part),2019,SXM,75.680
Slovak Republic,2019,SVK,77.666
Slovenia,2019,SVN,81.529
Solomon Islands,2019,SLB,69.981
Somalia,2019,SOM,57.249
South Africa,2019,ZAF,66.071
South Sudan,2019,SSD,58.129
Spain,2019,ESP,83.832
Sri Lanka,2019,LKA,76.698
St. Kitts and Nevis,2019,KNA,71.540
St. Lucia,2019,LCA,72.249
St. Martin (French part),2019,MAF,80.078
St. Vincent and the Grenadines,2019,VCT,70.994
Sudan,2019,SDN,65.803
Suriname,2019,SUR,71.773
Sweden,2019,SWE,83.110
Switzerland,2019,CHE,83.905
Syrian Arab Republic,2019,SYR,70.970
Tajikistan,2019,TJK,70.962
Tanzania,2019,TZA,66.007
Thailand,2019,THA,77.197
Timor-Leste,2019,TLS,66.496
Togo,2019,TGO,61.055
Tonga,2019,TON,72.292
Trinidad and Tobago,2019,TTO,72.836
Tunisia,2019,TUN,75.599
Turkiye,2019,TUR,77.737
Turkmenistan,2019,TKM,69.405
Turks and Caicos Islands,2019,TCA,77.691
Tuvalu,2019,TUV,66.109
Uganda,2019,UGA,66.354
Ukraine,2019,UKR,73.920
United Arab Emirates,2019,ARE,82.596
United Kingdom,2019,GBR,81.369
United States,2019,USA,78.788
Uruguay,2019,URY,77.503
Uzbekistan,2019,UZB,72.093
Vanuatu,2019,VUT,70.783
"Venezuela, RB",2019,VEN,72.766
Vietnam,2019,VNM,74.211
Virgin Islands (U.S.),2019,VIR,79.668
West Bank and Gaza,2019,PSE,75.811
"Yemen, Rep.",2019,YEM,66.567
Zambia,2019,ZMB,62.914
Zimbabwe,2019,ZWE,61.060
