Economy,Year,Economy Code,"Life expectancy at birth, female (years)"
Afghanistan,2020,AFG,64.656
Albania,2020,ALB,80.345
Algeria,2020,DZA,74.943
American Samoa,2020,ASM,75.682
Andorra,2020,AND,83.840
Angola,2020,AGO,65.774
Antigua and Barbuda,2020,ATG,79.813
Argentina,2020,ARG,78.783
Armenia,2020,ARM,78.600
Aruba,2020,ABW,78.333
Australia,2020,AUS,85.300
Austria,2020,AUT,83.600
Azerbaijan,2020,AZE,73.799
"Bahamas, The",2020,BHS,76.788
Bahrain,2020,BHR,80.954
Bangladesh,2020,BGD,73.428
Barbados,2020,BRB,78.649
Belarus,2020,BLR,77.428
Belgium,2020,BEL,83.000
Belize,2020,BLZ,74.463
Benin,2020,BEN,61.569
Bermuda,2020,BMU,85.195
Bhutan,2020,BTN,74.191
Bolivia,2020,BOL,67.126
Bosnia and Herzegovina,2020,BIH,79.393
Botswana,2020,BWA,70.358
Brazil,2020,BRA,77.599
British Virgin Islands,2020,VGB,79.718
Brunei Darussalam,2020,BRN,77.350
Bulgaria,2020,BGR,77.300
Burkina Faso,2020,BFA,62.314
Burundi,2020,BDI,64.580
Cabo Verde,2020,CPV,78.007
Cambodia,2020,KHM,72.657
Cameroon,2020,CMR,63.976
Canada,2020,CAN,83.840
Cayman Islands,2020,CYM,81.825
Central African Republic,2020,CAF,54.011
Chad,2020,TCD,54.893
Channel Islands,2020,CHI,83.200
Chile,2020,CHL,82.031
China,2020,CHN,80.999
Colombia,2020,COL,78.230
Comoros,2020,COM,68.000
"Congo, Dem. Rep.",2020,COD,62.535
"Congo, Rep.",2020,COG,66.161
Costa Rica,2020,CRI,82.754
Cote d'Ivoire,2020,CIV,62.336
Croatia,2020,HRV,80.700
Cuba,2020,CUB,79.939
Curacao,2020,CUW,80.606
Cyprus,2020,CYP,83.652
Czechia,2020,CZE,81.300
Denmark,2020,DNK,83.600
Djibouti,2020,DJI,66.847
Dominica,2020,DMA,74.591
Dominican Republic,2020,DOM,76.717
Ecuador,2020,ECU,75.876
"Egypt, Arab Rep.",2020,EGY,71.958
El Salvador,2020,SLV,74.716
Equatorial Guinea,2020,GNQ,64.222
Eritrea,2020,ERI,69.264
Estonia,2020,EST,83.000
Eswatini,2020,SWZ,62.790
Ethiopia,2020,ETH,69.368
Faroe Islands,2020,FRO,85.000
Fiji,2020,FJI,69.322
Finland,2020,FIN,84.800
France,2020,FRA,85.300
French Polynesia,2020,PYF,85.448
Gabon,2020,GAB,69.716
"Gambia, The",2020,GMB,66.122
Georgia,2020,GEO,78.254
Germany,2020,DEU,83.500
Ghana,2020,GHA,66.671
Gibraltar,2020,GIB,85.690
Greece,2020,GRC,83.900
Greenland,2020,GRL,74.130
Grenada,2020,GRD,78.207
Guam,2020,GUM,80.254
Guatemala,2020,GTM,73.169
Guinea,2020,GIN,60.654
Guinea-Bissau,2020,GNB,63.684
Guyana,2020,GUY,71.884
Haiti,2020,HTI,67.030
Honduras,2020,HND,73.814
"Hong Kong SAR, China",2020,HKG,87.750
Hungary,2020,HUN,78.800
Iceland,2020,ISL,84.600
India,2020,IND,71.938
Indonesia,2020,IDN,71.097
"Iran, Islamic Rep.",2020,IRN,76.238
Iraq,2020,IRQ,72.294
Ireland,2020,IRL,84.300
Isle of Man,2020,IMN,82.739
Israel,2020,ISR,84.800
Italy,2020,ITA,84.500
Jamaica,2020,JAM,74.014
Japan,2020,JPN,87.710
Jordan,2020,JOR,78.252
Kazakhstan,2020,KAZ,75.468
Kenya,2020,KEN,64.240
Kiribati,2020,KIR,67.129
"Korea, Dem. People's Rep.",2020,PRK,75.691
"Korea, Rep.",2020,KOR,86.500
Kosovo,2020,XKX,76.635
Kuwait,2020,KWT,80.400
Kyrgyz Republic,2020,KGZ,76.000
Lao PDR,2020,LAO,71.045
Latvia,2020,LVA,80.000
Lebanon,2020,LBN,78.669
Lesotho,2020,LSO,57.669
Liberia,2020,LBR,62.624
Libya,2020,LBY,75.700
Liechtenstein,2020,LIE,83.400
Lithuania,2020,LTU,80.100
Luxembourg,2020,LUX,84.500
"Macao SAR, China",2020,MAC,87.100
Madagascar,2020,MDG,64.576
Malawi,2020,MWI,68.813
Malaysia,2020,MYS,78.769
Maldives,2020,MDV,80.386
Mali,2020,MLI,60.316
Malta,2020,MLT,84.300
Marshall Islands,2020,MHL,68.086
Mauritania,2020,MRT,68.897
Mauritius,2020,MUS,77.660
Mexico,2020,MEX,74.109
"Micronesia, Fed. Sts.",2020,FSM,69.659
Moldova,2020,MDA,74.223
Monaco,2020,MCO,88.270
Mongolia,2020,MNG,76.220
Montenegro,2020,MNE,78.800
Morocco,2020,MAR,75.718
Mozambique,2020,MOZ,64.170
Myanmar,2020,MMR,69.702
Namibia,2020,NAM,68.035
Nauru,2020,NRU,64.025
Nepal,2020,NPL,70.772
Netherlands,2020,NLD,83.100
New Caledonia,2020,NCL,79.530
New Zealand,2020,NZL,84.100
Nicaragua,2020,NIC,74.030
Niger,2020,NER,61.018
Nigeria,2020,NGA,53.432
North Macedonia,2020,MKD,76.700
Northern Mariana Islands,2020,MNP,79.997
Norway,2020,NOR,84.900
Oman,2020,OMN,79.477
Pakistan,2020,PAK,68.447
