Economy,Year,Economy Code,"Maternal mortality ratio (modeled estimate, per 100,000 live births)"
Afghanistan,2020,AFG,634.000
Albania,2020,ALB,7.000
Algeria,2020,DZA,97.000
American Samoa,2020,ASM,
Andorra,2020,AND,48.000
Angola,2020,AGO,195.000
Antigua and Barbuda,2020,ATG,35.000
Argentina,2020,ARG,40.000
Armenia,2020,ARM,43.000
Aruba,2020,ABW,
Australia,2020,AUS,5.000
Austria,2020,AUT,6.000
Azerbaijan,2020,AZE,21.000
"Bahamas, The",2020,BHS,84.000
Bahrain,2020,BHR,7.000
Bangladesh,2020,BGD,152.000
Barbados,2020,BRB,39.000
Belarus,2020,BLR,2.000
Belgium,2020,BEL,4.000
Belize,2020,BLZ,88.000
Benin,2020,BEN,578.000
Bermuda,2020,BMU,
Bhutan,2020,BTN,51.000
Bolivia,2020,BOL,218.000
Bosnia and Herzegovina,2020,BIH,7.000
Botswana,2020,BWA,98.000
Brazil,2020,BRA,85.000
British Virgin Islands,2020,VGB,
Brunei Darussalam,2020,BRN,39.000
Bulgaria,2020,BGR,9.000
Burkina Faso,2020,BFA,334.000
Burundi,2020,BDI,441.000
Cabo Verde,2020,CPV,56.000
Cambodia,2020,KHM,164.000
Cameroon,2020,CMR,316.000
Canada,2020,CAN,17.000
Cayman Islands,2020,CYM,
Central African Republic,2020,CAF,1296.000
Chad,2020,TCD,877.000
Channel Islands,2020,CHI,
Chile,2020,CHL,12.000
China,2020,CHN,20.000
Colombia,2020,COL,94.000
Comoros,2020,COM,198.000
"Congo, Dem. Rep.",2020,COD,489.000
"Congo, Rep.",2020,COG,247.000
Costa Rica,2020,CRI,34.000
Cote d'Ivoire,2020,CIV,447.000
Croatia,2020,HRV,5.000
Cuba,2020,CUB,40.000
Curacao,2020,CUW,
Cyprus,2020,CYP,87.000
Czechia,2020,CZE,3.000
Denmark,2020,DNK,4.000
Djibouti,2020,DJI,192.000
Dominica,2020,DMA,47.000
Dominican Republic,2020,DOM,121.000
Ecuador,2020,ECU,91.000
"Egypt, Arab Rep.",2020,EGY,31.000
El Salvador,2020,SLV,48.000
Equatorial Guinea,2020,GNQ,196.000
Eritrea,2020,ERI,334.000
Estonia,2020,EST,6.000
Eswatini,2020,SWZ,102.000
Ethiopia,2020,ETH,244.000
Faroe Islands,2020,FRO,
Fiji,2020,FJI,34.000
Finland,2020,FIN,9.000
France,2020,FRA,9.000
French Polynesia,2020,PYF,
Gabon,2020,GAB,194.000
"Gambia, The",2020,GMB,400.000
Georgia,2020,GEO,30.000
Germany,2020,DEU,4.000
Ghana,2020,GHA,253.000
Gibraltar,2020,GIB,
Greece,2020,GRC,7.000
Greenland,2020,GRL,
Grenada,2020,GRD,51.000
Guam,2020,GUM,
Guatemala,2020,GTM,102.000
Guinea,2020,GIN,528.000
Guinea-Bissau,2020,GNB,603.000
Guyana,2020,GUY,109.000
Haiti,2020,HTI,346.000
Honduras,2020,HND,57.000
"Hong Kong SAR, China",2020,HKG,
Hungary,2020,HUN,18.000
Iceland,2020,ISL,12.000
India,2020,IND,101.000
Indonesia,2020,IDN,184.000
"Iran, Islamic Rep.",2020,IRN,34.000
Iraq,2020,IRQ,63.000
Ireland,2020,IRL,6.000
Isle of Man,2020,IMN,
Israel,2020,ISR,3.000
Italy,2020,ITA,8.000
Jamaica,2020,JAM,126.000
Japan,2020,JPN,4.000
Jordan,2020,JOR,41.000
Kazakhstan,2020,KAZ,18.000
Kenya,2020,KEN,184.000
Kiribati,2020,KIR,89.000
"Korea, Dem. People's Rep.",2020,PRK,66.000
"Korea, Rep.",2020,KOR,12.000
Kosovo,2020,XKX,
Kuwait,2020,KWT,33.000
Kyrgyz Republic,2020,KGZ,55.000
Lao PDR,2020,LAO,132.000
Latvia,2020,LVA,21.000
Lebanon,2020,LBN,27.000
Lesotho,2020,LSO,529.000
Liberia,2020,LBR,664.000
Libya,2020,LBY,71.000
Liechtenstein,2020,LIE,
Lithuania,2020,LTU,8.000
Luxembourg,2020,LUX,6.000
"Macao SAR, China",2020,MAC,
Madagascar,2020,MDG,447.000
Malawi,2020,MWI,256.000
Malaysia,2020,MYS,29.000
Maldives,2020,MDV,48.000
Mali,2020,MLI,405.000
Malta,2020,MLT,10.000
Marshall Islands,2020,MHL,178.000
Mauritania,2020,MRT,413.000
Mauritius,2020,MUS,58.000
Mexico,2020,MEX,61.000
"Micronesia, Fed. Sts.",2020,FSM,150.000
Moldova,2020,MDA,29.000
Monaco,2020,MCO,24.000
Mongolia,2020,MNG,47.000
Montenegro,2020,MNE,15.000
Morocco,2020,MAR,81.000
Mozambique,2020,MOZ,123.000
Myanmar,2020,MMR,198.000
Namibia,2020,NAM,143.000
Nauru,2020,NRU,309.000
Nepal,2020,NPL,153.000
Netherlands,2020,NLD,4.000
New Caledonia,2020,NCL,
New Zealand,2020,NZL,8.000
Nicaragua,2020,NIC,87.000
Niger,2020,NER,388.000
Nigeria,2020,NGA,1065.000
North Macedonia,2020,MKD,7.000
Northern Mariana Islands,2020,MNP,
Norway,2020,NOR,2.000
Oman,2020,OMN,32.000
Pakistan,2020,PAK,178.000
Palau,2020,PLW,117.000
Panama,2020,PAN,74.000
Papua New Guinea,2020,PNG,194.000
Paraguay,2020,PRY,69.000
Peru,2020,PER,75.000
Philippines,2020,PHL,88.000
Poland,2020,POL,3.000
Portugal,2020,PRT,14.000
Puerto Rico,2020,PRI,11.000
Qatar,2020,QAT,6.000
Romania,2020,ROU,16.000
Russian Federation,2020,RUS,19.000
Rwanda,2020,RWA,252.000
Samoa,2020,WSM,114.000
San Marino,2020,SMR,46.000
Sao Tome and Principe,2020,STP,92.000
Saudi Arabia,2020,SAU,11.000
Senegal,2020,SEN,252.000
Serbia,2020,SRB,16.000
Seychelles,2020,SYC,51.000
Sierra Leone,2020,SLE,422.000
Singapore,2020,SGP,13.000
Sint Maarten (Dutch part),2020,SXM,
Slovak Republic,2020,SVK,4.000
Slovenia,2020,SVN,12.000
Solomon Islands,2020,SLB,131.000
Somalia,2020,SOM,655.000
South Africa,2020,ZAF,118.000
South Sudan,2020,SSD,729.000
Spain,2020,ESP,4.000
Sri Lanka,2020,LKA,23.000
St. Kitts and Nevis,2020,KNA,80.000
St. Lucia,2020,LCA,43.000
St. Martin (French part),2020,MAF,
St. Vincent and the Grenadines,2020,VCT,57.000
Sudan,2020,SDN,273.000
Suriname,2020,SUR,94.000
Sweden,2020,SWE,5.000
Switzerland,2020,CHE,5.000
Syrian Arab Republic,2020,SYR,23.000
Tajikistan,2020,TJK,25.000
Tanzania,2020,TZA,160.000
Thailand,2020,THA,36.000
Timor-Leste,2020,TLS,257.000
Togo,2020,TGO,398.000
Tonga,2020,TON,74.000
Trinidad and Tobago,2020,TTO,35.000
Tunisia,2020,TUN,40.000
Turkiye,2020,TUR,19.000
Turkmenistan,2020,TKM,5.000
Turks and Caicos Islands,2020,TCA,
Tuvalu,2020,TUV,206.000
Uganda,2020,UGA,209.000
Ukraine,2020,UKR,18.000
United Arab Emirates,2020,ARE,6.000
United Kingdom,2020,GBR,14.000
United States,2020,USA,22.000
Uruguay,2020,URY,20.000
Uzbekistan,2020,UZB,29.000
Vanuatu,2020,VUT,107.000
"Venezuela, RB",2020,VEN,207.000
Vietnam,2020,VNM,51.000
Virgin Islands (U.S.),2020,VIR,
West Bank and Gaza,2020,PSE,20.000
"Yemen, Rep.",2020,YEM,135.000
Zambia,2020,ZMB,99.000
Zimbabwe,2020,ZWE,380.000
