Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Afghanistan,2023,AFG,
Albania,2023,ALB,35.714
Algeria,2023,DZA,7.862
American Samoa,2023,ASM,
Andorra,2023,AND,50.000
Angola,2023,AGO,33.636
Antigua and Barbuda,2023,ATG,5.556
Argentina,2023,ARG,43.191
Armenia,2023,ARM,35.514
Aruba,2023,ABW,
Australia,2023,AUS,38.411
Austria,2023,AUT,40.984
Azerbaijan,2023,AZE,18.644
"Bahamas, The",2023,BHS,17.949
Bahrain,2023,BHR,20.000
Bangladesh,2023,BGD,20.857
Barbados,2023,BRB,26.667
Belarus,2023,BLR,40.000
Belgium,2023,BEL,42.667
Belize,2023,BLZ,15.625
Benin,2023,BEN,26.606
Bermuda,2023,BMU,
Bhutan,2023,BTN,17.391
Bolivia,2023,BOL,46.154
Bosnia and Herzegovina,2023,BIH,19.048
Botswana,2023,BWA,11.111
Brazil,2023,BRA,17.544
British Virgin Islands,2023,VGB,
Brunei Darussalam,2023,BRN,11.765
Bulgaria,2023,BGR,24.167
Burkina Faso,2023,BFA,16.901
Burundi,2023,BDI,38.211
Cabo Verde,2023,CPV,41.667
Cambodia,2023,KHM,13.600
Cameroon,2023,CMR,33.889
Canada,2023,CAN,30.655
Cayman Islands,2023,CYM,
Central African Republic,2023,CAF,12.857
Chad,2023,TCD,25.888
Channel Islands,2023,CHI,
Chile,2023,CHL,35.484
China,2023,CHN,26.537
Colombia,2023,COL,28.877
Comoros,2023,COM,16.667
"Congo, Dem. Rep.",2023,COD,12.800
"Congo, Rep.",2023,COG,14.570
Costa Rica,2023,CRI,47.368
Cote d'Ivoire,2023,CIV,13.725
Croatia,2023,HRV,31.788
Cuba,2023,CUB,55.745
Curacao,2023,CUW,
Cyprus,2023,CYP,14.286
Czechia,2023,CZE,26.000
Denmark,2023,DNK,43.575
Djibouti,2023,DJI,26.154
Dominica,2023,DMA,37.500
Dominican Republic,2023,DOM,27.895
Ecuador,2023,ECU,43.066
"Egypt, Arab Rep.",2023,EGY,27.534
El Salvador,2023,SLV,27.381
Equatorial Guinea,2023,GNQ,31.000
Eritrea,2023,ERI,
Estonia,2023,EST,28.713
Eswatini,2023,SWZ,17.143
Ethiopia,2023,ETH,41.314
Faroe Islands,2023,FRO,
Fiji,2023,FJI,10.909
Finland,2023,FIN,46.000
France,2023,FRA,37.782
French Polynesia,2023,PYF,
Gabon,2023,GAB,24.490
"Gambia, The",2023,GMB,8.621
Georgia,2023,GEO,18.440
Germany,2023,DEU,35.190
Ghana,2023,GHA,14.545
Gibraltar,2023,GIB,
Greece,2023,GRC,23.000
Greenland,2023,GRL,
Grenada,2023,GRD,31.250
Guam,2023,GUM,
Guatemala,2023,GTM,20.000
Guinea,2023,GIN,29.630
Guinea-Bissau,2023,GNB,9.804
Guyana,2023,GUY,36.620
Haiti,2023,HTI,
Honduras,2023,HND,27.344
"Hong Kong SAR, China",2023,HKG,
Hungary,2023,HUN,14.070
Iceland,2023,ISL,47.619
India,2023,IND,15.242
Indonesia,2023,IDN,21.565
"Iran, Islamic Rep.",2023,IRN,5.594
Iraq,2023,IRQ,29.052
Ireland,2023,IRL,23.125
Isle of Man,2023,IMN,
Israel,2023,ISR,24.167
Italy,2023,ITA,32.250
Jamaica,2023,JAM,28.571
Japan,2023,JPN,10.345
Jordan,2023,JOR,12.308
Kazakhstan,2023,KAZ,18.367
Kenya,2023,KEN,23.276
Kiribati,2023,KIR,6.667
"Korea, Dem. People's Rep.",2023,PRK,17.613
"Korea, Rep.",2023,KOR,19.064
Kosovo,2023,XKX,
Kuwait,2023,KWT,3.077
Kyrgyz Republic,2023,KGZ,20.000
Lao PDR,2023,LAO,21.951
Latvia,2023,LVA,32.000
Lebanon,2023,LBN,6.250
Lesotho,2023,LSO,26.446
Liberia,2023,LBR,10.959
Libya,2023,LBY,16.471
Liechtenstein,2023,LIE,28.000
Lithuania,2023,LTU,28.369
Luxembourg,2023,LUX,33.333
"Macao SAR, China",2023,MAC,
Madagascar,2023,MDG,18.543
Malawi,2023,MWI,20.725
Malaysia,2023,MYS,13.514
Maldives,2023,MDV,4.598
Mali,2023,MLI,28.571
Malta,2023,MLT,27.848
Marshall Islands,2023,MHL,12.121
Mauritania,2023,MRT,23.295
Mauritius,2023,MUS,20.000
Mexico,2023,MEX,50.000
"Micronesia, Fed. Sts.",2023,FSM,14.286
Moldova,2023,MDA,38.614
Monaco,2023,MCO,45.833
Mongolia,2023,MNG,17.105
Montenegro,2023,MNE,20.988
Morocco,2023,MAR,24.304
Mozambique,2023,MOZ,43.200
Myanmar,2023,MMR,
Namibia,2023,NAM,44.231
Nauru,2023,NRU,10.526
Nepal,2023,NPL,33.088
Netherlands,2023,NLD,40.000
New Caledonia,2023,NCL,
New Zealand,2023,NZL,44.262
Nicaragua,2023,NIC,51.648
Niger,2023,NER,
Nigeria,2023,NGA,3.911
North Macedonia,2023,MKD,42.500
Northern Mariana Islands,2023,MNP,
Norway,2023,NOR,46.154
Oman,2023,OMN,0.000
Pakistan,2023,PAK,20.468
Palau,2023,PLW,6.250
Panama,2023,PAN,22.535
Papua New Guinea,2023,PNG,2.703
Paraguay,2023,PRY,22.500
Peru,2023,PER,38.760
Philippines,2023,PHL,27.331
Poland,2023,POL,29.348
Portugal,2023,PRT,36.087
Puerto Rico,2023,PRI,
Qatar,2023,QAT,4.444
Romania,2023,ROU,19.091
Russian Federation,2023,RUS,16.444
Rwanda,2023,RWA,61.250
Samoa,2023,WSM,12.963
San Marino,2023,SMR,33.333
Sao Tome and Principe,2023,STP,14.545
Saudi Arabia,2023,SAU,19.868
Senegal,2023,SEN,46.061
Serbia,2023,SRB,34.800
Seychelles,2023,SYC,22.857
Sierra Leone,2023,SLE,28.188
Singapore,2023,SGP,29.126
Sint Maarten (Dutch part),2023,SXM,
Slovak Republic,2023,SVK,22.000
Slovenia,2023,SVN,37.778
Solomon Islands,2023,SLB,8.000
Somalia,2023,SOM,19.708
South Africa,2023,ZAF,45.865
South Sudan,2023,SSD,32.364
Spain,2023,ESP,44.286
Sri Lanka,2023,LKA,5.333
St. Kitts and Nevis,2023,KNA,31.250
St. Lucia,2023,LCA,11.111
St. Martin (French part),2023,MAF,
St. Vincent and the Grenadines,2023,VCT,18.182
Sudan,2023,SDN,
Suriname,2023,SUR,29.412
Sweden,2023,SWE,46.418
Switzerland,2023,CHE,38.500
Syrian Arab Republic,2023,SYR,10.800
Tajikistan,2023,TJK,26.984
Tanzania,2023,TZA,37.405
Thailand,2023,THA,18.838
Timor-Leste,2023,TLS,36.923
Togo,2023,TGO,19.780
Tonga,2023,TON,7.143
Trinidad and Tobago,2023,TTO,28.571
Tunisia,2023,TUN,16.234
Turkiye,2023,TUR,19.833
Turkmenistan,2023,TKM,25.600
Turks and Caicos Islands,2023,TCA,
Tuvalu,2023,TUV,6.250
Uganda,2023,UGA,33.813
Ukraine,2023,UKR,20.433
United Arab Emirates,2023,ARE,50.000
United Kingdom,2023,GBR,34.615
United States,2023,USA,28.966
Uruguay,2023,URY,26.263
Uzbekistan,2023,UZB,33.571
Vanuatu,2023,VUT,1.923
"Venezuela, RB",2023,VEN,
Vietnam,2023,VNM,30.261
Virgin Islands (U.S.),2023,VIR,
West Bank and Gaza,2023,PSE,
"Yemen, Rep.",2023,YEM,0.000
Zambia,2023,ZMB,14.970
Zimbabwe,2023,ZWE,30.682
