Economy,Year,Economy Code,Proportion of seats held by women in national parliaments (%)
Afghanistan,2024,AFG,
Albania,2024,ALB,35.714
Algeria,2024,DZA,7.862
American Samoa,2024,ASM,
Andorra,2024,AND,50.000
Angola,2024,AGO,39.545
Antigua and Barbuda,2024,ATG,5.556
Argentina,2024,ARG,42.412
Armenia,2024,ARM,36.449
Aruba,2024,ABW,
Australia,2024,AUS,38.000
Austria,2024,AUT,36.066
Azerbaijan,2024,AZE,20.800
"Bahamas, The",2024,BHS,17.949
Bahrain,2024,BHR,20.000
Bangladesh,2024,BGD,
Barbados,2024,BRB,26.667
Belarus,2024,BLR,33.636
Belgium,2024,BEL,41.333
Belize,2024,BLZ,15.625
Benin,2024,BEN,26.606
Bermuda,2024,BMU,
Bhutan,2024,BTN,4.255
Bolivia,2024,BOL,46.154
Bosnia and Herzegovina,2024,BIH,19.048
Botswana,2024,BWA,8.696
Brazil,2024,BRA,17.544
British Virgin Islands,2024,VGB,
Brunei Darussalam,2024,BRN,11.765
Bulgaria,2024,BGR,20.833
Burkina Faso,2024,BFA,18.310
Burundi,2024,BDI,38.211
Cabo Verde,2024,CPV,38.889
Cambodia,2024,KHM,13.600
Cameroon,2024,CMR,33.889
Canada,2024,CAN,30.655
Cayman Islands,2024,CYM,
Central African Republic,2024,CAF,11.429
Chad,2024,TCD,26.108
Channel Islands,2024,CHI,
Chile,2024,CHL,35.484
China,2024,CHN,26.537
Colombia,2024,COL,29.412
Comoros,2024,COM,16.667
"Congo, Dem. Rep.",2024,COD,12.998
"Congo, Rep.",2024,COG,14.570
Costa Rica,2024,CRI,49.123
Cote d'Ivoire,2024,CIV,13.386
Croatia,2024,HRV,33.113
Cuba,2024,CUB,55.745
Curacao,2024,CUW,
Cyprus,2024,CYP,14.286
Czechia,2024,CZE,26.000
Denmark,2024,DNK,45.251
Djibouti,2024,DJI,26.154
Dominica,2024,DMA,37.500
Dominican Republic,2024,DOM,36.842
Ecuador,2024,ECU,43.066
"Egypt, Arab Rep.",2024,EGY,27.703
El Salvador,2024,SLV,31.667
Equatorial Guinea,2024,GNQ,32.000
Eritrea,2024,ERI,
Estonia,2024,EST,29.703
Eswatini,2024,SWZ,21.622
Ethiopia,2024,ETH,41.314
Faroe Islands,2024,FRO,
Fiji,2024,FJI,9.091
Finland,2024,FIN,46.000
France,2024,FRA,36.049
French Polynesia,2024,PYF,
Gabon,2024,GAB,25.510
"Gambia, The",2024,GMB,
Georgia,2024,GEO,22.667
Germany,2024,DEU,35.326
Ghana,2024,GHA,14.545
Gibraltar,2024,GIB,
Greece,2024,GRC,23.000
Greenland,2024,GRL,
Grenada,2024,GRD,31.250
Guam,2024,GUM,
Guatemala,2024,GTM,20.000
Guinea,2024,GIN,29.630
Guinea-Bissau,2024,GNB,9.804
Guyana,2024,GUY,39.437
Haiti,2024,HTI,
Honduras,2024,HND,27.344
"Hong Kong SAR, China",2024,HKG,
Hungary,2024,HUN,14.573
Iceland,2024,ISL,46.032
India,2024,IND,13.653
Indonesia,2024,IDN,21.034
"Iran, Islamic Rep.",2024,IRN,4.828
Iraq,2024,IRQ,28.875
Ireland,2024,IRL,25.287
Isle of Man,2024,IMN,
Israel,2024,ISR,25.000
Italy,2024,ITA,32.250
Jamaica,2024,JAM,27.419
Japan,2024,JPN,15.699
Jordan,2024,JOR,19.565
Kazakhstan,2024,KAZ,19.388
Kenya,2024,KEN,23.276
Kiribati,2024,KIR,11.111
"Korea, Dem. People's Rep.",2024,PRK,17.613
"Korea, Rep.",2024,KOR,20.000
Kosovo,2024,XKX,
Kuwait,2024,KWT,
Kyrgyz Republic,2024,KGZ,21.111
Lao PDR,2024,LAO,21.951
Latvia,2024,LVA,32.000
Lebanon,2024,LBN,6.250
Lesotho,2024,LSO,25.000
Liberia,2024,LBR,10.959
Libya,2024,LBY,16.471
Liechtenstein,2024,LIE,28.000
Lithuania,2024,LTU,28.369
Luxembourg,2024,LUX,33.333
"Macao SAR, China",2024,MAC,
Madagascar,2024,MDG,15.951
Malawi,2024,MWI,20.725
Malaysia,2024,MYS,13.514
Maldives,2024,MDV,3.226
Mali,2024,MLI,30.657
Malta,2024,MLT,27.848
Marshall Islands,2024,MHL,12.121
Mauritania,2024,MRT,23.295
Mauritius,2024,MUS,19.403
Mexico,2024,MEX,50.200
"Micronesia, Fed. Sts.",2024,FSM,15.385
Moldova,2024,MDA,40.816
Monaco,2024,MCO,45.833
Mongolia,2024,MNG,25.397
Montenegro,2024,MNE,27.160
Morocco,2024,MAR,24.304
Mozambique,2024,MOZ,39.200
Myanmar,2024,MMR,
Namibia,2024,NAM,40.625
Nauru,2024,NRU,10.526
Nepal,2024,NPL,33.088
Netherlands,2024,NLD,38.667
New Caledonia,2024,NCL,
New Zealand,2024,NZL,45.528
