predictor,tier,coef,se,pval,sig,pval_bonf,pval_bh,std_coef,n,n_clusters,n_changers,within_sd,se_type,status
composite_secularism_norm,T1_2014_with_gdp,-0.100087,0.035998,0.005430,***,,,,166.000000,,,,HC3,
composite_secularism_norm,T1_2020_with_gdp,-0.097285,0.040648,0.016694,**,,,,164.000000,,,,HC3,
composite_secularism_norm,T2_no_gdp,0.022939,0.016369,0.161301,,1.000000,0.288906,0.038275,1700.000000,170.000000,138.000000,0.063667,cluster_entity,
composite_secularism_norm,T2_with_gdp,0.023735,0.014026,0.090812,*,0.726494,0.242165,0.039180,1648.000000,166.000000,134.000000,0.062226,cluster_entity,
composite_secularism_norm,T2_no_gdp_samesample,0.023734,0.014038,0.091101,*,,,0.039178,1648.000000,166.000000,134.000000,0.062226,cluster_entity,
composite_secularism_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
composite_secularism_norm,T2_with_gdp_dk,0.023735,0.011231,0.034741,**,,,0.039180,1648.000000,166.000000,134.000000,0.062226,driscoll_kraay_bw2,
composite_secularism_norm,T5_ld_2013_2022_no_gdp,0.046905,0.034697,0.176429,,,,0.100055,170.000000,170.000000,124.000000,0.126798,HC3,
composite_secularism_norm,T5_ld_2013_2022_with_gdp,0.053334,0.038884,0.170182,,,,0.108567,163.000000,163.000000,118.000000,0.121435,HC3,
composite_secularism_norm,T5_ld_2014_2022_with_gdp,0.012339,0.030947,0.690109,,,,0.025427,163.000000,163.000000,116.000000,0.116269,HC3,
composite_secularism_norm,T4_mundlak_within,0.023736,0.013318,0.074903,*,,,0.039182,1648.000000,166.000000,134.000000,0.062226,cluster_entity,
composite_secularism_norm,T4_mundlak_between,-0.119107,0.041657,0.004301,***,,,,1648.000000,166.000000,134.000000,0.062226,cluster_entity,
composite_secularism_norm,T4_mundlak_within_samesample,,,,,,,,,,,,,missing
composite_secularism_norm,T4_mundlak_between_samesample,,,,,,,,,,,,,missing
composite_secularism_norm,T2_changers_wild_bootstrap,0.023404,0.013180,0.083042,*,,,,1192.000000,,120.000000,,,
composite_secularism_pca_norm,T1_2014_with_gdp,-0.121521,0.037715,0.001272,***,,,,166.000000,,,,HC3,
composite_secularism_pca_norm,T1_2020_with_gdp,-0.115552,0.039133,0.003149,***,,,,164.000000,,,,HC3,
composite_secularism_pca_norm,T2_no_gdp,0.019671,0.016666,0.238065,,1.000000,0.288906,0.034201,1700.000000,170.000000,139.000000,0.052323,cluster_entity,
composite_secularism_pca_norm,T2_with_gdp,0.022492,0.017352,0.195099,,1.000000,0.288906,0.039345,1648.000000,166.000000,135.000000,0.051420,cluster_entity,
composite_secularism_pca_norm,T2_no_gdp_samesample,0.022474,0.017363,0.195738,,,,0.039314,1648.000000,166.000000,135.000000,0.051420,cluster_entity,
composite_secularism_pca_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
composite_secularism_pca_norm,T2_with_gdp_dk,0.022492,0.012187,0.065153,*,,,0.039345,1648.000000,166.000000,135.000000,0.051420,driscoll_kraay_bw2,
composite_secularism_pca_norm,T5_ld_2013_2022_no_gdp,0.053641,0.037588,0.153556,,,,0.095353,170.000000,170.000000,125.000000,0.105663,HC3,
composite_secularism_pca_norm,T5_ld_2013_2022_with_gdp,0.056542,0.037767,0.134361,,,,0.099143,163.000000,163.000000,119.000000,0.104602,HC3,
composite_secularism_pca_norm,T5_ld_2014_2022_with_gdp,0.008178,0.029066,0.778443,,,,0.015237,163.000000,163.000000,117.000000,0.105130,HC3,
composite_secularism_pca_norm,T4_mundlak_within,0.022500,0.016478,0.172291,,,,0.039359,1648.000000,166.000000,135.000000,0.051420,cluster_entity,
composite_secularism_pca_norm,T4_mundlak_between,-0.151198,0.040215,0.000176,***,,,,1648.000000,166.000000,135.000000,0.051420,cluster_entity,
composite_secularism_pca_norm,T4_mundlak_within_samesample,,,,,,,,,,,,,missing
composite_secularism_pca_norm,T4_mundlak_between_samesample,,,,,,,,,,,,,missing
composite_secularism_pca_norm,T2_changers_wild_bootstrap,,,,,,,,,,,,,missing
composite_secularism_real_norm,T1_2014_with_gdp,-0.047525,0.035156,0.176424,,,,,166.000000,,,,HC3,
composite_secularism_real_norm,T1_2020_with_gdp,-0.048330,0.038401,0.208187,,,,,164.000000,,,,HC3,
composite_secularism_real_norm,T2_no_gdp,0.001264,0.009659,0.895921,,,,0.002399,1700.000000,170.000000,137.000000,0.091253,cluster_entity,
composite_secularism_real_norm,T2_with_gdp,0.001411,0.008591,0.869521,,,,0.002667,1648.000000,166.000000,133.000000,0.090889,cluster_entity,
composite_secularism_real_norm,T2_no_gdp_samesample,0.001419,0.008592,0.868839,,,,0.002681,1648.000000,166.000000,133.000000,0.090889,cluster_entity,
composite_secularism_real_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
composite_secularism_real_norm,T2_with_gdp_dk,0.001411,0.004690,0.763501,,,,0.002667,1648.000000,166.000000,133.000000,0.090889,driscoll_kraay_bw2,
composite_secularism_real_norm,T5_ld_2013_2022_no_gdp,0.003106,0.023696,0.895710,,,,0.008789,170.000000,170.000000,88.000000,0.168190,HC3,
composite_secularism_real_norm,T5_ld_2013_2022_with_gdp,0.005453,0.025334,0.829571,,,,0.015089,163.000000,163.000000,82.000000,0.165063,HC3,
composite_secularism_real_norm,T5_ld_2014_2022_with_gdp,-0.009579,0.021685,0.658672,,,,-0.027849,163.000000,163.000000,79.000000,0.164033,HC3,
composite_secularism_real_norm,T4_mundlak_within,0.001411,0.008158,0.862681,,,,0.002666,1648.000000,166.000000,133.000000,0.090889,cluster_entity,
composite_secularism_real_norm,T4_mundlak_between,-0.058526,0.039832,0.141935,,,,,1648.000000,166.000000,133.000000,0.090889,cluster_entity,
composite_secularism_real_norm,T4_mundlak_within_samesample,,,,,,,,,,,,,missing
composite_secularism_real_norm,T4_mundlak_between_samesample,,,,,,,,,,,,,missing
composite_secularism_real_norm,T2_changers_wild_bootstrap,0.001248,0.007915,0.888444,,,,,1288.000000,,130.000000,,,
composite_secularism_instonly_norm,T1_2014_with_gdp,-0.045137,0.035020,0.197444,,,,,166.000000,,,,HC3,
composite_secularism_instonly_norm,T1_2020_with_gdp,-0.061187,0.039758,0.123809,,,,,164.000000,,,,HC3,
composite_secularism_instonly_norm,T2_no_gdp,0.003923,0.011466,0.732286,,,,0.007557,1700.000000,170.000000,121.000000,0.083310,cluster_entity,
composite_secularism_instonly_norm,T2_with_gdp,0.003879,0.010222,0.704357,,,,0.007443,1648.000000,166.000000,117.000000,0.082733,cluster_entity,
composite_secularism_instonly_norm,T2_no_gdp_samesample,0.003887,0.010237,0.704247,,,,0.007457,1648.000000,166.000000,117.000000,0.082733,cluster_entity,
composite_secularism_instonly_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
composite_secularism_instonly_norm,T2_with_gdp_dk,0.003879,0.006419,0.545687,,,,0.007443,1648.000000,166.000000,117.000000,0.082733,driscoll_kraay_bw2,
composite_secularism_instonly_norm,T5_ld_2013_2022_no_gdp,0.013342,0.024021,0.578600,,,,0.035880,170.000000,170.000000,80.000000,0.159853,HC3,
composite_secularism_instonly_norm,T5_ld_2013_2022_with_gdp,0.016428,0.026167,0.530124,,,,0.043006,163.000000,163.000000,74.000000,0.156169,HC3,
composite_secularism_instonly_norm,T5_ld_2014_2022_with_gdp,-0.004523,0.020078,0.821782,,,,-0.013268,163.000000,163.000000,77.000000,0.165520,HC3,
composite_secularism_instonly_norm,T4_mundlak_within,0.003880,0.009706,0.689431,,,,0.007444,1648.000000,166.000000,117.000000,0.082733,cluster_entity,
composite_secularism_instonly_norm,T4_mundlak_between,-0.054828,0.039514,0.165462,,,,,1648.000000,166.000000,117.000000,0.082733,cluster_entity,
composite_secularism_instonly_norm,T4_mundlak_within_samesample,,,,,,,,,,,,,missing
composite_secularism_instonly_norm,T4_mundlak_between_samesample,,,,,,,,,,,,,missing
composite_secularism_instonly_norm,T2_changers_wild_bootstrap,,,,,,,,,,,,,missing
composite_secularism_covwt_norm,T1_2014_with_gdp,-0.046389,0.032882,0.158319,,,,,166.000000,,,,HC3,
composite_secularism_covwt_norm,T1_2020_with_gdp,-0.062394,0.037873,0.099466,*,,,,164.000000,,,,HC3,
composite_secularism_covwt_norm,T2_no_gdp,0.006636,0.011148,0.551734,,,,0.013214,1700.000000,170.000000,140.000000,0.084967,cluster_entity,
composite_secularism_covwt_norm,T2_with_gdp,0.006842,0.009761,0.483431,,,,0.013547,1648.000000,166.000000,136.000000,0.084191,cluster_entity,
composite_secularism_covwt_norm,T2_no_gdp_samesample,0.006842,0.009788,0.484646,,,,0.013548,1648.000000,166.000000,136.000000,0.084191,cluster_entity,
composite_secularism_covwt_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
composite_secularism_covwt_norm,T2_with_gdp_dk,0.006842,0.006989,0.327744,,,,0.013547,1648.000000,166.000000,136.000000,0.084191,driscoll_kraay_bw2,
composite_secularism_covwt_norm,T5_ld_2013_2022_no_gdp,0.015038,0.023438,0.521120,,,,0.041802,170.000000,170.000000,123.000000,0.165233,HC3,
composite_secularism_covwt_norm,T5_ld_2013_2022_with_gdp,0.018171,0.025584,0.477549,,,,0.049059,163.000000,163.000000,117.000000,0.161057,HC3,
composite_secularism_covwt_norm,T5_ld_2014_2022_with_gdp,-0.003524,0.019701,0.858036,,,,-0.010590,163.000000,163.000000,115.000000,0.169561,HC3,
composite_secularism_covwt_norm,T4_mundlak_within,0.006842,0.009269,0.460493,,,,0.013548,1648.000000,166.000000,136.000000,0.084191,cluster_entity,
composite_secularism_covwt_norm,T4_mundlak_between,-0.059268,0.037826,0.117342,,,,,1648.000000,166.000000,136.000000,0.084191,cluster_entity,
composite_secularism_covwt_norm,T4_mundlak_within_samesample,,,,,,,,,,,,,missing
composite_secularism_covwt_norm,T4_mundlak_between_samesample,,,,,,,,,,,,,missing
composite_secularism_covwt_norm,T2_changers_wild_bootstrap,,,,,,,,,,,,,missing
gri_apostasy_norm,T1_2014_with_gdp,-0.141878,0.028184,0.000000,***,,,,166.000000,,,,,
gri_apostasy_norm,T1_2020_with_gdp,-0.119279,0.039511,0.002537,***,,,,164.000000,,,,,
gri_apostasy_norm,T2_no_gdp,-0.016927,0.009080,0.062495,*,0.499957,0.242165,-0.040636,1700.000000,170.000000,11.000000,0.098248,cluster_entity,
gri_apostasy_norm,T2_with_gdp,-0.018020,0.009838,0.067203,*,0.537624,0.242165,-0.042853,1648.000000,166.000000,9.000000,0.094152,cluster_entity,
gri_apostasy_norm,T2_no_gdp_samesample,-0.017982,0.009825,0.067409,*,,,-0.042763,1648.000000,166.000000,9.000000,0.094152,cluster_entity,
gri_apostasy_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
gri_apostasy_norm,T2_with_gdp_dk,-0.018020,0.006537,0.005914,***,,,-0.042853,1648.000000,166.000000,9.000000,0.094152,driscoll_kraay_bw2,
gri_apostasy_norm,T5_ld_2013_2022_no_gdp,-0.035811,0.027490,0.192675,,,,-0.144990,170.000000,170.000000,10.000000,0.240663,HC3,
gri_apostasy_norm,T5_ld_2013_2022_with_gdp,,,,,,,,,,,,,missing
gri_apostasy_norm,T5_ld_2014_2022_with_gdp,,,,,,,,,,,,,missing
gri_apostasy_norm,T4_mundlak_within,-0.018014,0.009356,0.054362,*,,,-0.042838,1648.000000,166.000000,9.000000,0.094152,cluster_entity,
gri_apostasy_norm,T4_mundlak_between,-0.126217,0.038451,0.001051,***,,,-0.300154,1648.000000,166.000000,9.000000,0.094152,cluster_entity,
gri_apostasy_norm,T4_mundlak_within_samesample,-0.017978,0.009340,0.054431,*,,,-0.042754,1648.000000,166.000000,9.000000,0.094152,cluster_entity,
gri_apostasy_norm,T4_mundlak_between_samesample,-0.129452,0.035993,0.000332,***,,,-0.307848,1648.000000,166.000000,9.000000,0.094152,cluster_entity,
gri_apostasy_norm,T2_changers_wild_bootstrap,-0.033824,0.011722,0.076538,*,,,,90.000000,,9.000000,,,
gri_religious_courts_norm,T1_2014_with_gdp,0.012124,0.016704,0.467947,,,,,166.000000,,,,,
gri_religious_courts_norm,T1_2020_with_gdp,0.016868,0.019819,0.394731,,,,,164.000000,,,,,
gri_religious_courts_norm,T2_no_gdp,-0.007351,0.006628,0.267573,,1.000000,0.288906,-0.018169,1700.000000,170.000000,37.000000,0.174778,cluster_entity,
gri_religious_courts_norm,T2_with_gdp,-0.007270,0.006853,0.288906,,1.000000,0.288906,-0.018218,1648.000000,166.000000,36.000000,0.175375,cluster_entity,
gri_religious_courts_norm,T2_no_gdp_samesample,-0.007281,0.006842,0.287416,,,,-0.018246,1648.000000,166.000000,36.000000,0.175375,cluster_entity,
gri_religious_courts_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
gri_religious_courts_norm,T2_with_gdp_dk,-0.007270,0.003488,0.037283,**,,,-0.018218,1648.000000,166.000000,36.000000,0.175375,driscoll_kraay_bw2,
gri_religious_courts_norm,T5_ld_2013_2022_no_gdp,-0.010268,0.012352,0.405829,,,,-0.059284,170.000000,170.000000,20.000000,0.343200,HC3,
gri_religious_courts_norm,T5_ld_2013_2022_with_gdp,-0.009588,0.013423,0.475043,,,,-0.054961,163.000000,163.000000,19.000000,0.341969,HC3,
gri_religious_courts_norm,T5_ld_2014_2022_with_gdp,-0.008570,0.013048,0.511320,,,,-0.054035,163.000000,163.000000,21.000000,0.355756,HC3,
gri_religious_courts_norm,T4_mundlak_within,-0.007272,0.006516,0.264613,,,,-0.018222,1648.000000,166.000000,36.000000,0.175375,cluster_entity,
gri_religious_courts_norm,T4_mundlak_between,0.042349,0.022605,0.061186,*,,,0.106122,1648.000000,166.000000,36.000000,0.175375,cluster_entity,
gri_religious_courts_norm,T4_mundlak_within_samesample,-0.007282,0.006504,0.263065,,,,-0.018248,1648.000000,166.000000,36.000000,0.175375,cluster_entity,
gri_religious_courts_norm,T4_mundlak_between_samesample,0.059567,0.022465,0.008090,***,,,0.149268,1648.000000,166.000000,36.000000,0.175375,cluster_entity,
gri_religious_courts_norm,T2_changers_wild_bootstrap,,,,,,,,,,,,,missing
gri_gov_favour_norm,T1_2014_with_gdp,-0.032257,0.029340,0.271577,,,,,166.000000,,,,,
gri_gov_favour_norm,T1_2020_with_gdp,-0.041005,0.029776,0.168468,,,,,164.000000,,,,,
gri_gov_favour_norm,T2_no_gdp,0.014248,0.009202,0.121746,,,,0.027795,1700.000000,170.000000,61.000000,0.108390,cluster_entity,
gri_gov_favour_norm,T2_with_gdp,0.013855,0.009505,0.145144,,,,0.027126,1648.000000,166.000000,58.000000,0.106143,cluster_entity,
gri_gov_favour_norm,T2_no_gdp_samesample,0.013884,0.009537,0.145641,,,,0.027182,1648.000000,166.000000,58.000000,0.106143,cluster_entity,
gri_gov_favour_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
gri_gov_favour_norm,T2_with_gdp_dk,0.013855,0.002924,0.000002,***,,,0.027126,1648.000000,166.000000,58.000000,0.106143,driscoll_kraay_bw2,
gri_gov_favour_norm,T5_ld_2013_2022_no_gdp,,,,,,,,,,,,,missing
gri_gov_favour_norm,T5_ld_2013_2022_with_gdp,,,,,,,,,,,,,missing
gri_gov_favour_norm,T5_ld_2014_2022_with_gdp,,,,,,,,,,,,,missing
gri_gov_favour_norm,T4_mundlak_within,0.013843,0.009038,0.125801,,,,0.027102,1648.000000,166.000000,58.000000,0.106143,cluster_entity,
gri_gov_favour_norm,T4_mundlak_between,-0.055351,0.032499,0.088729,*,,,-0.108365,1648.000000,166.000000,58.000000,0.106143,cluster_entity,
gri_gov_favour_norm,T4_mundlak_within_samesample,0.013873,0.009066,0.126144,,,,0.027160,1648.000000,166.000000,58.000000,0.106143,cluster_entity,
gri_gov_favour_norm,T4_mundlak_between_samesample,-0.065916,0.034399,0.055516,*,,,-0.129049,1648.000000,166.000000,58.000000,0.106143,cluster_entity,
gri_gov_favour_norm,T2_changers_wild_bootstrap,,,,,,,,,,,,,missing
gri_state_religion_norm,T1_2014_with_gdp,-0.000671,0.032824,0.983680,,,,,166.000000,,,,,
gri_state_religion_norm,T1_2020_with_gdp,-0.035768,0.039686,0.367453,,,,,164.000000,,,,,
gri_state_religion_norm,T2_no_gdp,0.010750,0.017460,0.538199,,,,0.021059,1700.000000,170.000000,26.000000,0.086628,cluster_entity,
gri_state_religion_norm,T2_with_gdp,0.006487,0.014727,0.659647,,,,0.012391,1648.000000,166.000000,24.000000,0.083923,cluster_entity,
gri_state_religion_norm,T2_no_gdp_samesample,0.006456,0.014703,0.660657,,,,0.012332,1648.000000,166.000000,24.000000,0.083923,cluster_entity,
gri_state_religion_norm,T2_with_gdp_samesample,,,,,,,,,,,,,= T2_with_gdp
gri_state_religion_norm,T2_with_gdp_dk,0.006487,0.007460,0.384663,,,,0.012391,1648.000000,166.000000,24.000000,0.083923,driscoll_kraay_bw2,
gri_state_religion_norm,T5_ld_2013_2022_no_gdp,,,,,,,,,,,,,missing
gri_state_religion_norm,T5_ld_2013_2022_with_gdp,,,,,,,,,,,,,missing
gri_state_religion_norm,T5_ld_2014_2022_with_gdp,,,,,,,,,,,,,missing
gri_state_religion_norm,T4_mundlak_within,0.006494,0.014004,0.642938,,,,0.012403,1648.000000,166.000000,24.000000,0.083923,cluster_entity,
gri_state_religion_norm,T4_mundlak_between,-0.012211,0.040863,0.765114,,,,-0.023324,1648.000000,166.000000,24.000000,0.083923,cluster_entity,
gri_state_religion_norm,T4_mundlak_within_samesample,0.006462,0.013977,0.643879,,,,0.012344,1648.000000,166.000000,24.000000,0.083923,cluster_entity,
