iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
SGP,Singapore,-0.008311,0.006902,0.228714,,-0.001362,-0.006949,0.006877
MDA,Moldova,-0.008157,0.006858,0.234442,,-0.001208,-0.006949,0.006877
UGA,Uganda,-0.008130,0.007181,0.257728,,-0.001180,-0.006949,0.006877
COM,Comoros,-0.008084,0.006979,0.246914,,-0.001135,-0.006949,0.006877
BDI,Burundi,-0.007841,0.007155,0.273294,,-0.000892,-0.006949,0.006877
KAZ,Kazakhstan,-0.007722,0.006966,0.267841,,-0.000772,-0.006949,0.006877
SVK,Slovak Republic,-0.007663,0.006965,0.271442,,-0.000713,-0.006949,0.006877
LTU,Lithuania,-0.007607,0.006969,0.275179,,-0.000658,-0.006949,0.006877
BEL,Belgium,-0.007553,0.006990,0.280023,,-0.000604,-0.006949,0.006877
BGR,Bulgaria,-0.007494,0.007215,0.299140,,-0.000545,-0.006949,0.006877
NIC,Nicaragua,-0.007479,0.007030,0.287577,,-0.000530,-0.006949,0.006877
EGY,"Egypt, Arab Rep.",-0.007461,0.007212,0.301058,,-0.000511,-0.006949,0.006877
PAK,Pakistan,-0.007382,0.007061,0.295976,,-0.000432,-0.006949,0.006877
AFG,Afghanistan,-0.007362,0.007071,0.297952,,-0.000413,-0.006949,0.006877
MNE,Montenegro,-0.007335,0.006973,0.293051,,-0.000385,-0.006949,0.006877
LBY,Libya,-0.007249,0.007037,0.303106,,-0.000299,-0.006949,0.006877
ROU,Romania,-0.007228,0.006984,0.300872,,-0.000278,-0.006949,0.006877
BHR,Bahrain,-0.007125,0.006890,0.301270,,-0.000175,-0.006949,0.006877
TJK,Tajikistan,-0.007106,0.007128,0.318990,,-0.000157,-0.006949,0.006877
COD,"Congo, Dem. Rep.",-0.007084,0.006874,0.302963,,-0.000134,-0.006949,0.006877
UZB,Uzbekistan,-0.007067,0.006887,0.304943,,-0.000118,-0.006949,0.006877
PHL,Philippines,-0.007061,0.006880,0.304927,,-0.000112,-0.006949,0.006877
SRB,Serbia,-0.007038,0.007006,0.315289,,-0.000089,-0.006949,0.006877
MLI,Mali,-0.007030,0.006886,0.307487,,-0.000080,-0.006949,0.006877
CAF,Central African Republic,-0.007021,0.006898,0.308937,,-0.000071,-0.006949,0.006877
BFA,Burkina Faso,-0.007020,0.006879,0.307711,,-0.000070,-0.006949,0.006877
SLV,El Salvador,-0.007013,0.006885,0.308531,,-0.000064,-0.006949,0.006877
TTO,Trinidad and Tobago,-0.007008,0.006883,0.308800,,-0.000058,-0.006949,0.006877
HRV,Croatia,-0.007006,0.006884,0.308956,,-0.000057,-0.006949,0.006877
TLS,Timor-Leste,-0.007003,0.006879,0.308807,,-0.000054,-0.006949,0.006877
KHM,Cambodia,-0.006995,0.006877,0.309282,,-0.000045,-0.006949,0.006877
VUT,Vanuatu,-0.006994,0.006873,0.309048,,-0.000045,-0.006949,0.006877
MUS,Mauritius,-0.006993,0.006880,0.309590,,-0.000044,-0.006949,0.006877
SYC,Seychelles,-0.006991,0.006868,0.308856,,-0.000042,-0.006949,0.006877
FIN,Finland,-0.006990,0.006879,0.309709,,-0.000041,-0.006949,0.006877
LUX,Luxembourg,-0.006990,0.006885,0.310156,,-0.000040,-0.006949,0.006877
PNG,Papua New Guinea,-0.006988,0.006881,0.310039,,-0.000039,-0.006949,0.006877
ESP,Spain,-0.006988,0.006878,0.309779,,-0.000038,-0.006949,0.006877
KWT,Kuwait,-0.006987,0.006890,0.310736,,-0.000037,-0.006949,0.006877
BWA,Botswana,-0.006984,0.006879,0.310139,,-0.000035,-0.006949,0.006877
AUT,Austria,-0.006984,0.007021,0.320021,,-0.000035,-0.006949,0.006877
BRA,Brazil,-0.006981,0.006880,0.310457,,-0.000031,-0.006949,0.006877
SVN,Slovenia,-0.006979,0.006877,0.310401,,-0.000029,-0.006949,0.006877
COL,Colombia,-0.006979,0.006875,0.310250,,-0.000029,-0.006949,0.006877
ZWE,Zimbabwe,-0.006978,0.006884,0.310939,,-0.000028,-0.006949,0.006877
LKA,Sri Lanka,-0.006977,0.006881,0.310776,,-0.000028,-0.006949,0.006877
TUR,Turkiye,-0.006976,0.006882,0.310951,,-0.000026,-0.006949,0.006877
MRT,Mauritania,-0.006972,0.006881,0.311119,,-0.000022,-0.006949,0.006877
NOR,Norway,-0.006972,0.006880,0.311054,,-0.000022,-0.006949,0.006877
TUN,Tunisia,-0.006971,0.006880,0.311115,,-0.000022,-0.006949,0.006877
PRT,Portugal,-0.006971,0.006878,0.310953,,-0.000022,-0.006949,0.006877
BEN,Benin,-0.006971,0.006871,0.310492,,-0.000021,-0.006949,0.006877
BLR,Belarus,-0.006970,0.006877,0.310999,,-0.000021,-0.006949,0.006877
GTM,Guatemala,-0.006970,0.006880,0.311171,,-0.000020,-0.006949,0.006877
JPN,Japan,-0.006969,0.006879,0.311153,,-0.000020,-0.006949,0.006877
LSO,Lesotho,-0.006969,0.006881,0.311344,,-0.000019,-0.006949,0.006877
SWE,Sweden,-0.006968,0.006877,0.311077,,-0.000019,-0.006949,0.006877
RWA,Rwanda,-0.006968,0.006880,0.311279,,-0.000019,-0.006949,0.006877
GEO,Georgia,-0.006968,0.006877,0.311130,,-0.000019,-0.006949,0.006877
LBN,Lebanon,-0.006967,0.006883,0.311616,,-0.000018,-0.006949,0.006877
TZA,Tanzania,-0.006967,0.006873,0.310955,,-0.000017,-0.006949,0.006877
PRY,Paraguay,-0.006966,0.006873,0.310934,,-0.000017,-0.006949,0.006877
LVA,Latvia,-0.006966,0.006986,0.318862,,-0.000016,-0.006949,0.006877
GRC,Greece,-0.006966,0.006874,0.311070,,-0.000016,-0.006949,0.006877
CHE,Switzerland,-0.006965,0.006877,0.311322,,-0.000016,-0.006949,0.006877
CAN,Canada,-0.006965,0.006877,0.311314,,-0.000016,-0.006949,0.006877
