iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
NGA,Nigeria,-0.026276,0.009374,0.005129,***,-0.009817,-0.016459,0.012615
OMN,Oman,-0.019309,0.012992,0.137441,,-0.002850,-0.016459,0.012615
ARE,United Arab Emirates,-0.019129,0.012024,0.111848,,-0.002670,-0.016459,0.012615
SAU,Saudi Arabia,-0.018353,0.012713,0.149074,,-0.001893,-0.016459,0.012615
MAR,Morocco,-0.017916,0.013217,0.175463,,-0.001457,-0.016459,0.012615
GIN,Guinea,-0.017486,0.012549,0.163702,,-0.001027,-0.016459,0.012615
MLI,Mali,-0.017409,0.012699,0.170619,,-0.000950,-0.016459,0.012615
STP,Sao Tome and Principe,-0.016973,0.012414,0.171768,,-0.000514,-0.016459,0.012615
COD,"Congo, Dem. Rep.",-0.016964,0.012460,0.173573,,-0.000504,-0.016459,0.012615
LBR,Liberia,-0.016892,0.012522,0.177572,,-0.000432,-0.016459,0.012615
NAM,Namibia,-0.016868,0.012412,0.174358,,-0.000408,-0.016459,0.012615
ZMB,Zambia,-0.016825,0.012640,0.183385,,-0.000365,-0.016459,0.012615
SYC,Seychelles,-0.016769,0.012530,0.181013,,-0.000309,-0.016459,0.012615
SUR,Suriname,-0.016760,0.012506,0.180401,,-0.000300,-0.016459,0.012615
MMR,Myanmar,-0.016707,0.012675,0.187658,,-0.000248,-0.016459,0.012615
GAB,Gabon,-0.016697,0.012552,0.183631,,-0.000238,-0.016459,0.012615
SWZ,Eswatini,-0.016646,0.012596,0.186547,,-0.000186,-0.016459,0.012615
MOZ,Mozambique,-0.016637,0.012579,0.186194,,-0.000177,-0.016459,0.012615
KWT,Kuwait,-0.016632,0.012779,0.193299,,-0.000172,-0.016459,0.012615
GUY,Guyana,-0.016601,0.012560,0.186467,,-0.000141,-0.016459,0.012615
JAM,Jamaica,-0.016600,0.012592,0.187606,,-0.000141,-0.016459,0.012615
BOL,Bolivia,-0.016592,0.012583,0.187524,,-0.000132,-0.016459,0.012615
LAO,Lao PDR,-0.016581,0.012579,0.187652,,-0.000121,-0.016459,0.012615
DEU,Germany,-0.016578,0.012608,0.188767,,-0.000118,-0.016459,0.012615
NLD,Netherlands,-0.016576,0.012691,0.191723,,-0.000116,-0.016459,0.012615
PER,Peru,-0.016574,0.012572,0.187581,,-0.000115,-0.016459,0.012615
DJI,Djibouti,-0.016562,0.012654,0.190799,,-0.000103,-0.016459,0.012615
TUR,Turkiye,-0.016553,0.012722,0.193426,,-0.000093,-0.016459,0.012615
BRB,Barbados,-0.016546,0.012609,0.189622,,-0.000087,-0.016459,0.012615
VNM,Vietnam,-0.016543,0.012576,0.188587,,-0.000083,-0.016459,0.012615
CHL,Chile,-0.016542,0.012589,0.189033,,-0.000083,-0.016459,0.012615
BEN,Benin,-0.016536,0.012630,0.190642,,-0.000077,-0.016459,0.012615
CHN,China,-0.016531,0.012650,0.191491,,-0.000071,-0.016459,0.012615
FRA,France,-0.016523,0.012669,0.192363,,-0.000064,-0.016459,0.012615
MWI,Malawi,-0.016517,0.012610,0.190444,,-0.000058,-0.016459,0.012615
CMR,Cameroon,-0.016506,0.012617,0.190978,,-0.000047,-0.016459,0.012615
