iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
BOL,Bolivia,0.014817,0.016875,0.380077,,-0.007165,0.021982,0.018623
SAU,Saudi Arabia,0.014958,0.016529,0.365644,,-0.007025,0.021982,0.018623
MLI,Mali,0.018743,0.018314,0.306277,,-0.003239,0.021982,0.018623
ISR,Israel,0.019152,0.018485,0.300340,,-0.002831,0.021982,0.018623
MOZ,Mozambique,0.019349,0.018496,0.295684,,-0.002633,0.021982,0.018623
ETH,Ethiopia,0.019491,0.018494,0.292078,,-0.002491,0.021982,0.018623
AGO,Angola,0.019584,0.018565,0.291666,,-0.002399,0.021982,0.018623
SLE,Sierra Leone,0.019623,0.018746,0.295385,,-0.002360,0.021982,0.018623
NIC,Nicaragua,0.019789,0.018726,0.290810,,-0.002194,0.021982,0.018623
EGY,"Egypt, Arab Rep.",0.020436,0.018557,0.270970,,-0.001547,0.021982,0.018623
DZA,Algeria,0.020443,0.018547,0.270547,,-0.001539,0.021982,0.018623
MWI,Malawi,0.020477,0.018787,0.275909,,-0.001505,0.021982,0.018623
ALB,Albania,0.020521,0.018573,0.269399,,-0.001462,0.021982,0.018623
COM,Comoros,0.020563,0.018786,0.273885,,-0.001419,0.021982,0.018623
LKA,Sri Lanka,0.020582,0.018547,0.267320,,-0.001401,0.021982,0.018623
ARM,Armenia,0.020692,0.018600,0.266109,,-0.001290,0.021982,0.018623
OMN,Oman,0.020791,0.018697,0.266326,,-0.001191,0.021982,0.018623
HND,Honduras,0.020820,0.018679,0.265193,,-0.001162,0.021982,0.018623
PAN,Panama,0.020862,0.018820,0.267836,,-0.001121,0.021982,0.018623
TUR,Turkiye,0.020878,0.018629,0.262577,,-0.001104,0.021982,0.018623
GIN,Guinea,0.020960,0.018558,0.258912,,-0.001022,0.021982,0.018623
FRA,France,0.021149,0.018594,0.255566,,-0.000834,0.021982,0.018623
NPL,Nepal,0.021156,0.018568,0.254719,,-0.000826,0.021982,0.018623
TGO,Togo,0.021158,0.018676,0.257443,,-0.000825,0.021982,0.018623
GMB,"Gambia, The",0.021230,0.018758,0.257908,,-0.000752,0.021982,0.018623
CAN,Canada,0.021236,0.019789,0.283390,,-0.000746,0.021982,0.018623
CMR,Cameroon,0.021285,0.018827,0.258446,,-0.000698,0.021982,0.018623
KOR,"Korea, Rep.",0.021297,0.018588,0.252085,,-0.000685,0.021982,0.018623
SLV,El Salvador,0.021312,0.018604,0.252166,,-0.000670,0.021982,0.018623
HRV,Croatia,0.021351,0.018578,0.250621,,-0.000631,0.021982,0.018623
SVK,Slovak Republic,0.021363,0.018531,0.249173,,-0.000619,0.021982,0.018623
HTI,Haiti,0.021370,0.018712,0.253620,,-0.000613,0.021982,0.018623
PHL,Philippines,0.021371,0.018635,0.251655,,-0.000612,0.021982,0.018623
MYS,Malaysia,0.021379,0.018594,0.250439,,-0.000604,0.021982,0.018623
SSD,South Sudan,0.021406,0.018629,0.250705,,-0.000576,0.021982,0.018623
SUR,Suriname,0.021414,0.018631,0.250586,,-0.000569,0.021982,0.018623
UZB,Uzbekistan,0.021431,0.018655,0.250845,,-0.000552,0.021982,0.018623
STP,Sao Tome and Principe,0.021516,0.018619,0.248046,,-0.000466,0.021982,0.018623
ZWE,Zimbabwe,0.021532,0.018590,0.246959,,-0.000450,0.021982,0.018623
ISL,Iceland,0.021589,0.018601,0.245969,,-0.000393,0.021982,0.018623
NGA,Nigeria,0.021592,0.018610,0.246151,,-0.000390,0.021982,0.018623
BIH,Bosnia and Herzegovina,0.021598,0.018647,0.246964,,-0.000385,0.021982,0.018623
NAM,Namibia,0.021637,0.018655,0.246305,,-0.000345,0.021982,0.018623
TUN,Tunisia,0.021660,0.018613,0.244732,,-0.000322,0.021982,0.018623
MAR,Morocco,0.021666,0.018697,0.246732,,-0.000316,0.021982,0.018623
NER,Niger,0.021676,0.018656,0.245484,,-0.000306,0.021982,0.018623
BRA,Brazil,0.021688,0.018631,0.244580,,-0.000295,0.021982,0.018623
COL,Colombia,0.021696,0.018654,0.244985,,-0.000287,0.021982,0.018623
TCD,Chad,0.021719,0.018678,0.245092,,-0.000263,0.021982,0.018623
ZAF,South Africa,0.021753,0.018649,0.243623,,-0.000230,0.021982,0.018623
PAK,Pakistan,0.021756,0.018662,0.243904,,-0.000226,0.021982,0.018623
QAT,Qatar,0.021759,0.018650,0.243526,,-0.000224,0.021982,0.018623
CIV,Cote d'Ivoire,0.021769,0.018707,0.244743,,-0.000214,0.021982,0.018623
LSO,Lesotho,0.021777,0.018617,0.242320,,-0.000206,0.021982,0.018623
