iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
MDA,Moldova,-0.008337,0.006711,0.214308,,-0.001460,-0.006877,0.006753
SGP,Singapore,-0.008241,0.006770,0.223728,,-0.001364,-0.006877,0.006753
COM,Comoros,-0.007925,0.006873,0.249066,,-0.001048,-0.006877,0.006753
UGA,Uganda,-0.007791,0.007053,0.269489,,-0.000914,-0.006877,0.006753
BDI,Burundi,-0.007743,0.007036,0.271294,,-0.000866,-0.006877,0.006753
PAK,Pakistan,-0.007727,0.006976,0.268231,,-0.000850,-0.006877,0.006753
BGR,Bulgaria,-0.007670,0.007047,0.276576,,-0.000793,-0.006877,0.006753
NIC,Nicaragua,-0.007644,0.006902,0.268236,,-0.000767,-0.006877,0.006753
LTU,Lithuania,-0.007605,0.006848,0.266932,,-0.000728,-0.006877,0.006753
SVK,Slovak Republic,-0.007565,0.006843,0.269071,,-0.000689,-0.006877,0.006753
BEL,Belgium,-0.007543,0.006875,0.272759,,-0.000666,-0.006877,0.006753
KAZ,Kazakhstan,-0.007511,0.006837,0.272102,,-0.000634,-0.006877,0.006753
EGY,"Egypt, Arab Rep.",-0.007473,0.007040,0.288674,,-0.000596,-0.006877,0.006753
LBY,Libya,-0.007278,0.006913,0.292613,,-0.000401,-0.006877,0.006753
AFG,Afghanistan,-0.007267,0.006947,0.295651,,-0.000391,-0.006877,0.006753
ROU,Romania,-0.007214,0.006865,0.293508,,-0.000337,-0.006877,0.006753
MNE,Montenegro,-0.007152,0.006840,0.295943,,-0.000275,-0.006877,0.006753
TJK,Tajikistan,-0.007118,0.007041,0.312229,,-0.000241,-0.006877,0.006753
VUT,Vanuatu,-0.007016,0.006749,0.298716,,-0.000139,-0.006877,0.006753
HTI,Haiti,-0.006999,0.006744,0.299531,,-0.000122,-0.006877,0.006753
CAF,Central African Republic,-0.006992,0.006768,0.301720,,-0.000115,-0.006877,0.006753
KWT,Kuwait,-0.006991,0.006769,0.301854,,-0.000114,-0.006877,0.006753
FJI,Fiji,-0.006987,0.006755,0.301097,,-0.000111,-0.006877,0.006753
TTO,Trinidad and Tobago,-0.006984,0.006754,0.301309,,-0.000107,-0.006877,0.006753
BFA,Burkina Faso,-0.006982,0.006757,0.301591,,-0.000106,-0.006877,0.006753
KOR,"Korea, Rep.",-0.006965,0.006749,0.302246,,-0.000088,-0.006877,0.006753
PNG,Papua New Guinea,-0.006963,0.006756,0.302868,,-0.000086,-0.006877,0.006753
MLI,Mali,-0.006961,0.006764,0.303585,,-0.000084,-0.006877,0.006753
MUS,Mauritius,-0.006960,0.006759,0.303325,,-0.000083,-0.006877,0.006753
SYC,Seychelles,-0.006954,0.006733,0.301875,,-0.000077,-0.006877,0.006753
GRC,Greece,-0.006950,0.006755,0.303705,,-0.000073,-0.006877,0.006753
GNQ,Equatorial Guinea,-0.006949,0.006744,0.303024,,-0.000072,-0.006877,0.006753
TLS,Timor-Leste,-0.006946,0.006759,0.304308,,-0.000069,-0.006877,0.006753
HRV,Croatia,-0.006944,0.006760,0.304524,,-0.000067,-0.006877,0.006753
ESP,Spain,-0.006942,0.006756,0.304309,,-0.000065,-0.006877,0.006753
BWA,Botswana,-0.006935,0.006757,0.304863,,-0.000058,-0.006877,0.006753
SRB,Serbia,-0.006934,0.006878,0.313554,,-0.000057,-0.006877,0.006753
UZB,Uzbekistan,-0.006932,0.006770,0.306053,,-0.000055,-0.006877,0.006753
CHE,Switzerland,-0.006928,0.006751,0.304989,,-0.000051,-0.006877,0.006753
RWA,Rwanda,-0.006927,0.006753,0.305158,,-0.000051,-0.006877,0.006753
TUN,Tunisia,-0.006924,0.006758,0.305757,,-0.000047,-0.006877,0.006753
JPN,Japan,-0.006920,0.006750,0.305409,,-0.000043,-0.006877,0.006753
GTM,Guatemala,-0.006918,0.006752,0.305748,,-0.000041,-0.006877,0.006753
ISR,Israel,-0.006916,0.006751,0.305755,,-0.000039,-0.006877,0.006753
TUR,Turkiye,-0.006916,0.006761,0.306469,,-0.000039,-0.006877,0.006753
PHL,Philippines,-0.006916,0.006755,0.306078,,-0.000039,-0.006877,0.006753
COG,"Congo, Rep.",-0.006914,0.006756,0.306258,,-0.000037,-0.006877,0.006753
BRA,Brazil,-0.006914,0.006759,0.306557,,-0.000037,-0.006877,0.006753
SLE,Sierra Leone,-0.006913,0.006762,0.306764,,-0.000036,-0.006877,0.006753
PRT,Portugal,-0.006912,0.006758,0.306561,,-0.000035,-0.006877,0.006753
FIN,Finland,-0.006911,0.006755,0.306446,,-0.000034,-0.006877,0.006753
LKA,Sri Lanka,-0.006910,0.006755,0.306538,,-0.000033,-0.006877,0.006753
QAT,Qatar,-0.006909,0.006751,0.306264,,-0.000032,-0.006877,0.006753
DNK,Denmark,-0.006908,0.006753,0.306561,,-0.000031,-0.006877,0.006753
LBN,Lebanon,-0.006904,0.006762,0.307426,,-0.000027,-0.006877,0.006753
ISL,Iceland,-0.006899,0.006756,0.307336,,-0.000022,-0.006877,0.006753
ALB,Albania,-0.006898,0.006761,0.307775,,-0.000021,-0.006877,0.006753
USA,United States,-0.006897,0.006757,0.307504,,-0.000021,-0.006877,0.006753
HUN,Hungary,-0.006897,0.006750,0.307035,,-0.000020,-0.006877,0.006753
UKR,Ukraine,-0.006897,0.006764,0.308082,,-0.000020,-0.006877,0.006753
SWE,Sweden,-0.006896,0.006753,0.307328,,-0.000020,-0.006877,0.006753
SEN,Senegal,-0.006895,0.006756,0.307628,,-0.000018,-0.006877,0.006753
CYP,Cyprus,-0.006895,0.006753,0.307437,,-0.000018,-0.006877,0.006753
CAN,Canada,-0.006895,0.006754,0.307507,,-0.000018,-0.006877,0.006753
LUX,Luxembourg,-0.006892,0.006753,0.307599,,-0.000015,-0.006877,0.006753
MKD,North Macedonia,-0.006890,0.006748,0.307430,,-0.000013,-0.006877,0.006753
ITA,Italy,-0.006888,0.006751,0.307790,,-0.000011,-0.006877,0.006753
COL,Colombia,-0.006887,0.006758,0.308342,,-0.000010,-0.006877,0.006753
ZWE,Zimbabwe,-0.006886,0.006762,0.308685,,-0.000009,-0.006877,0.006753
AUT,Austria,-0.006885,0.006886,0.317549,,-0.000008,-0.006877,0.006753
LVA,Latvia,-0.006884,0.006861,0.315842,,-0.000007,-0.006877,0.006753
CPV,Cabo Verde,-0.006884,0.006747,0.307787,,-0.000007,-0.006877,0.006753
NAM,Namibia,-0.006884,0.006746,0.307723,,-0.000007,-0.006877,0.006753
ARE,United Arab Emirates,-0.006883,0.006801,0.311680,,-0.000006,-0.006877,0.006753
