rmax_mult,rmax_val,delta
0.800000,0.013379,
0.900000,0.015052,
1.000000,0.016724,
1.100000,0.018396,98.726211
1.200000,0.020069,49.363105
1.300000,0.021741,32.908737
1.400000,0.023414,24.681553
1.500000,0.025086,19.745242
1.600000,0.026758,16.454368
1.700000,0.028431,14.103744
1.800000,0.030103,12.340776
1.900000,0.031776,10.969579
2.000000,0.033448,9.872621
2.100000,0.035120,8.975110
2.200000,0.036793,8.227184
2.300000,0.038465,7.594324
2.400000,0.040138,7.051872
2.500000,0.041810,6.581747
2.600000,0.043482,6.170388
2.700000,0.045155,5.807424
2.800000,0.046827,5.484789
2.900000,0.048500,5.196116
3.000000,0.050172,4.936311
3.100000,0.051844,4.701248
