rmax_mult,rmax_val,delta
0.800000,0.012440,
0.900000,0.013995,
1.000000,0.015550,
1.100000,0.017105,31.923305
1.200000,0.018660,15.961653
1.300000,0.020215,10.641102
1.400000,0.021770,7.980826
1.500000,0.023325,6.384661
1.600000,0.024880,5.320551
1.700000,0.026435,4.560472
1.800000,0.027990,3.990413
1.900000,0.029545,3.547034
2.000000,0.031100,3.192331
2.100000,0.032655,2.902119
2.200000,0.034210,2.660275
2.300000,0.035765,2.455639
2.400000,0.037320,2.280236
2.500000,0.038875,2.128220
2.600000,0.040430,1.995207
2.700000,0.041985,1.877841
2.800000,0.043540,1.773517
2.900000,0.045095,1.680174
3.000000,0.046650,1.596165
3.100000,0.048205,1.520157
