rmax_mult,rmax_val,delta
0.800000,0.003160,
0.900000,0.003555,
1.000000,0.003950,
1.100000,0.004345,34.031620
1.200000,0.004740,17.015810
1.300000,0.005135,11.343873
1.400000,0.005530,8.507905
1.500000,0.005925,6.806324
1.600000,0.006320,5.671937
1.700000,0.006715,4.861660
1.800000,0.007110,4.253953
1.900000,0.007505,3.781291
2.000000,0.007900,3.403162
2.100000,0.008295,3.093784
2.200000,0.008690,2.835968
2.300000,0.009085,2.617817
2.400000,0.009480,2.430830
2.500000,0.009875,2.268775
2.600000,0.010270,2.126976
2.700000,0.010665,2.001860
2.800000,0.011060,1.890646
2.900000,0.011455,1.791138
3.000000,0.011850,1.701581
3.100000,0.012245,1.620553
