rmax_mult,rmax_val,delta
0.800000,0.026779,
0.900000,0.030126,
1.000000,0.033473,
1.100000,0.036821,155.949134
1.200000,0.040168,77.974567
1.300000,0.043515,51.983045
1.400000,0.046863,38.987284
1.500000,0.050210,31.189827
1.600000,0.053557,25.991522
1.700000,0.056905,22.278448
1.800000,0.060252,19.493642
1.900000,0.063599,17.327682
2.000000,0.066947,15.594913
2.100000,0.070294,14.177194
2.200000,0.073641,12.995761
2.300000,0.076989,11.996087
2.400000,0.080336,11.139224
2.500000,0.083683,10.396609
2.600000,0.087031,9.746821
2.700000,0.090378,9.173478
2.800000,0.093725,8.663841
2.900000,0.097073,8.207849
3.000000,0.100420,7.797457
3.100000,0.103767,7.426149
