tier,predictor,label,coef,se,pval,sig,n,r2,r2_within,n_clusters
T1_2014_with_gdp,secularism_clean_norm,NEW: clean composite (inst+beh),-0.10008747794592505,0.03599827067895489,0.005430179754248911,***,166,0.520507147852457,,
T1_2020_with_gdp,secularism_clean_norm,NEW: clean composite (inst+beh),-0.09728501252817603,0.04064768067672584,0.01669431449022081,**,164,0.462857391832755,,
T1_2014_with_gdp,secularism_clean_inst_norm,NEW: institutional only,-0.045136796583975965,0.03502048803544947,0.1974438792333021,,166,0.5069974021822212,,
T1_2020_with_gdp,secularism_clean_inst_norm,NEW: institutional only,-0.061187051895380255,0.039758205274630774,0.12380936841937897,,164,0.45442855997827514,,
T1_2014_with_gdp,secularism_clean_beh_norm,NEW: behavioural only,-0.1311945750334663,0.047927842096141766,0.006193912244300839,***,79,0.6073796686667686,,
T1_2020_with_gdp,secularism_clean_beh_norm,NEW: behavioural only,-0.1727644386837174,0.0458784580180645,0.0001660841396035384,***,94,0.5513256239894568,,
T1_2014_with_gdp,secularism_clean_real_norm,"NEW: clean, no WVS interp",-0.04752525565546456,0.035155785049999735,0.17642414596044675,,166,0.5075122059863891,,
T1_2020_with_gdp,secularism_clean_real_norm,"NEW: clean, no WVS interp",-0.04833002267711865,0.03840082788925268,0.20818669822756042,,164,0.4505845306434699,,
T1_2014_with_gdp,composite_secularism_norm,OLD: 11-input headline,-0.19388202638144586,0.04601251426828912,2.5124281411885187e-05,***,166,0.5500262419186601,,
T1_2020_with_gdp,composite_secularism_norm,OLD: 11-input headline,-0.22621733811446917,0.05524212550903662,4.2214087370864313e-05,***,164,0.5091433900116114,,
T1_2014_with_gdp,composite_secularism_pca_norm,OLD: PCA variant,-0.2108571448392121,0.043123153908488726,1.010152410296956e-06,***,166,0.5702155078186371,,
T1_2020_with_gdp,composite_secularism_pca_norm,OLD: PCA variant,-0.22526740503454767,0.04620387136201803,1.0852807691238365e-06,***,164,0.5328485380171515,,
T1_2014_with_gdp,gri_state_religion_norm,SUB: state religion (structural),-0.08595979950501283,0.02779464469643352,0.0019836131937037865,***,166,0.5242686201066588,,
T1_2020_with_gdp,gri_state_religion_norm,SUB: state religion (structural),-0.10542496101624008,0.03026051055976453,0.0004941416164842512,***,164,0.48184156839970427,,
T1_2014_with_gdp,gri_religious_law_norm,SUB: religious law (structural),-0.013070770870111196,0.028470718385219595,0.6461657853221724,,166,0.5028466759860902,,
