group,group_label,predictor,coef,se,pval,sig,n,r2
assets,Assets & inheritance,const,0.810651,0.026267,0.000000,***,1648,0.015559
assets,Assets & inheritance,gri_state_religion_norm,-0.021600,0.022943,0.346620,,1648,0.015559
assets,Assets & inheritance,gri_gov_favour_norm,-0.000271,0.009059,0.976153,,1648,0.015559
assets,Assets & inheritance,gri_religious_law_norm,0.009010,0.010073,0.371259,,1648,0.015559
assets,Assets & inheritance,gri_religious_courts_norm,-0.001278,0.001233,0.300207,,1648,0.015559
assets,Assets & inheritance,gri_blasphemy_norm,0.003262,0.003124,0.296579,,1648,0.015559
assets,Assets & inheritance,gri_apostasy_norm,-0.000722,0.003622,0.842088,,1648,0.015559
assets,Assets & inheritance,v2x_rule_norm,-0.015788,0.032244,0.624470,,1648,0.015559
assets,Assets & inheritance,v2x_civlib_norm,0.022062,0.019096,0.248152,,1648,0.015559
assets,Assets & inheritance,v2x_egal_norm,-0.062565,0.037494,0.095397,*,1648,0.015559
assets,Assets & inheritance,log_gdppc_norm,0.078397,0.081281,0.334947,,1648,0.015559
assets,Assets & inheritance,const,0.783730,0.033516,0.000000,***,1648,0.015141
assets,Assets & inheritance,composite_secularism_norm,0.057635,0.035026,0.100084,,1648,0.015141
assets,Assets & inheritance,v2x_rule_norm,-0.022034,0.031551,0.485056,,1648,0.015141
assets,Assets & inheritance,v2x_civlib_norm,0.040866,0.025352,0.107186,,1648,0.015141
assets,Assets & inheritance,v2x_egal_norm,-0.060246,0.037252,0.106043,,1648,0.015141
assets,Assets & inheritance,log_gdppc_norm,0.073954,0.083673,0.376928,,1648,0.015141
econ_rights,Economic rights,const,0.766451,0.065680,0.000000,***,1648,0.010465
econ_rights,Economic rights,gri_state_religion_norm,0.018732,0.015878,0.238310,,1648,0.010465
econ_rights,Economic rights,gri_gov_favour_norm,-0.007703,0.018787,0.681841,,1648,0.010465
econ_rights,Economic rights,gri_religious_law_norm,0.019307,0.012424,0.120386,,1648,0.010465
econ_rights,Economic rights,gri_religious_courts_norm,0.001902,0.009947,0.848376,,1648,0.010465
econ_rights,Economic rights,gri_blasphemy_norm,-0.008476,0.006145,0.168014,,1648,0.010465
econ_rights,Economic rights,gri_apostasy_norm,-0.012717,0.017447,0.466162,,1648,0.010465
econ_rights,Economic rights,v2x_rule_norm,0.038250,0.071495,0.592727,,1648,0.010465
econ_rights,Economic rights,v2x_civlib_norm,0.064907,0.103525,0.530773,,1648,0.010465
econ_rights,Economic rights,v2x_egal_norm,-0.058688,0.071649,0.412861,,1648,0.010465
econ_rights,Economic rights,log_gdppc_norm,0.073368,0.121330,0.545473,,1648,0.010465
econ_rights,Economic rights,const,0.727566,0.066919,0.000000,***,1648,0.011581
econ_rights,Economic rights,composite_secularism_norm,0.113647,0.068662,0.098105,*,1648,0.011581
econ_rights,Economic rights,v2x_rule_norm,0.028217,0.071031,0.691245,,1648,0.011581
econ_rights,Economic rights,v2x_civlib_norm,0.091998,0.106481,0.387740,,1648,0.011581
econ_rights,Economic rights,v2x_egal_norm,-0.049734,0.068448,0.467586,,1648,0.011581
econ_rights,Economic rights,log_gdppc_norm,0.041109,0.116372,0.723947,,1648,0.011581
fam_safety,Family & safety,const,0.783695,0.096760,0.000000,***,1648,0.025989
fam_safety,Family & safety,gri_state_religion_norm,0.013881,0.029190,0.634476,,1648,0.025989
fam_safety,Family & safety,gri_gov_favour_norm,-0.039375,0.021969,0.073296,*,1648,0.025989
fam_safety,Family & safety,gri_religious_law_norm,0.025897,0.020173,0.199427,,1648,0.025989
fam_safety,Family & safety,gri_religious_courts_norm,0.003326,0.011945,0.780703,,1648,0.025989
fam_safety,Family & safety,gri_blasphemy_norm,-0.002476,0.007534,0.742436,,1648,0.025989
fam_safety,Family & safety,gri_apostasy_norm,-0.031801,0.035874,0.375518,,1648,0.025989
fam_safety,Family & safety,v2x_rule_norm,0.193610,0.085027,0.022927,**,1648,0.025989
fam_safety,Family & safety,v2x_civlib_norm,-0.125240,0.096134,0.192857,,1648,0.025989
fam_safety,Family & safety,v2x_egal_norm,-0.089381,0.123103,0.467915,,1648,0.025989
fam_safety,Family & safety,log_gdppc_norm,0.049537,0.177369,0.780066,,1648,0.025989
fam_safety,Family & safety,const,0.764316,0.103267,0.000000,***,1648,0.018302
fam_safety,Family & safety,composite_secularism_norm,0.046221,0.082537,0.575560,,1648,0.018302
fam_safety,Family & safety,v2x_rule_norm,0.176732,0.084065,0.035695,**,1648,0.018302
fam_safety,Family & safety,v2x_civlib_norm,-0.115007,0.086181,0.182251,,1648,0.018302
fam_safety,Family & safety,v2x_egal_norm,-0.068053,0.122653,0.579087,,1648,0.018302
fam_safety,Family & safety,log_gdppc_norm,0.008965,0.174153,0.958951,,1648,0.018302
health,Health,const,0.814036,0.031707,0.000000,***,1668,0.031034
health,Health,gri_state_religion_norm,0.006724,0.010902,0.537440,,1668,0.031034
health,Health,gri_gov_favour_norm,0.014428,0.008568,0.092391,*,1668,0.031034
health,Health,gri_religious_law_norm,0.004215,0.006068,0.487401,,1668,0.031034
