tier,year,predictor,coef,se,pval,n,r2,n_clusters,n_changers,within_sd,std_coef,se_type,valid,invalid_reason
ROB_no_wvs_interp_no_gdp,all,const,0.180791,0.153562,0.239492,841,0.110560,157,,,,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,gri_state_religion_norm,0.032416,0.044480,0.466389,841,0.110560,157,11.000000,0.070500,0.075763,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,gri_gov_favour_norm,0.037856,0.012704,0.002990,841,0.110560,157,30.000000,0.102465,0.081190,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,gri_religious_law_norm,0.018805,0.011065,0.089685,841,0.110560,157,50.000000,0.100113,0.045150,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,gri_religious_courts_norm,-0.017633,0.013974,0.207467,841,0.110560,157,13.000000,0.150923,-0.040499,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,gri_blasphemy_norm,-0.010689,0.005264,0.042684,841,0.110560,157,35.000000,0.253412,-0.041798,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,gri_apostasy_norm,-0.005486,0.013045,0.674230,841,0.110560,157,6.000000,0.092582,-0.014411,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,v2x_rule_norm,-0.011524,0.042318,0.785460,841,0.110560,157,98.000000,0.056660,-0.028880,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,v2x_corr_norm,0.023808,0.050861,0.639862,841,0.110560,157,97.000000,0.045407,0.055447,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,education_norm,0.292112,0.164828,0.076817,841,0.110560,157,96.000000,0.033004,0.612041,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,rurality_norm,0.460358,0.166953,0.005986,841,0.110560,157,98.000000,0.016850,0.981618,cluster_entity,True,
ROB_no_wvs_interp_no_gdp,all,conflict_norm,0.022634,0.037312,0.544312,841,0.110560,157,99.000000,0.051091,0.046363,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,const,0.230757,0.152670,0.131177,796,0.130277,153,,,,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,gri_state_religion_norm,0.022227,0.040521,0.583519,796,0.130277,153,9.000000,0.061685,0.049767,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,gri_gov_favour_norm,0.044045,0.013560,0.001224,796,0.130277,153,27.000000,0.096574,0.093922,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,gri_religious_law_norm,0.019840,0.011915,0.096370,796,0.130277,153,47.000000,0.097676,0.046541,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,gri_religious_courts_norm,-0.016730,0.014924,0.262729,796,0.130277,153,12.000000,0.150285,-0.038563,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,gri_blasphemy_norm,-0.009894,0.005349,0.064815,796,0.130277,153,33.000000,0.249131,-0.037663,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,gri_apostasy_norm,0.000109,0.016337,0.994689,796,0.130277,153,4.000000,0.082416,0.000278,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,v2x_rule_norm,-0.053233,0.039948,0.183161,796,0.130277,153,95.000000,0.055855,-0.130090,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,v2x_corr_norm,0.002933,0.050109,0.953340,796,0.130277,153,92.000000,0.044860,0.006803,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,education_norm,0.348081,0.173572,0.045353,796,0.130277,153,92.000000,0.033489,0.729321,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,rurality_norm,0.429073,0.166169,0.010046,796,0.130277,153,94.000000,0.017251,0.892324,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,conflict_norm,0.035316,0.034854,0.311332,796,0.130277,153,95.000000,0.052210,0.070326,cluster_entity,True,
ROB_no_wvs_interp_with_gdp,all,log_gdppc_norm,-0.087037,0.106553,0.414333,796,0.130277,153,93.000000,0.014841,-0.167227,cluster_entity,True,
