iso3,country,coef,se,pval,sig,coef_change,base_coef,base_se
COM,Comoros,-0.006729,0.009535,0.480497,,-0.001584,-0.005144,0.009469
SGP,Singapore,-0.006698,0.009549,0.483142,,-0.001554,-0.005144,0.009469
UGA,Uganda,-0.006131,0.009976,0.538898,,-0.000987,-0.005144,0.009469
KAZ,Kazakhstan,-0.005973,0.009619,0.534760,,-0.000828,-0.005144,0.009469
PAK,Pakistan,-0.005934,0.009669,0.539534,,-0.000789,-0.005144,0.009469
SVK,Slovak Republic,-0.005920,0.009614,0.538152,,-0.000775,-0.005144,0.009469
BDI,Burundi,-0.005790,0.009894,0.558531,,-0.000645,-0.005144,0.009469
LTU,Lithuania,-0.005770,0.009609,0.548248,,-0.000626,-0.005144,0.009469
BEL,Belgium,-0.005740,0.009633,0.551363,,-0.000595,-0.005144,0.009469
NIC,Nicaragua,-0.005658,0.009637,0.557183,,-0.000514,-0.005144,0.009469
MNE,Montenegro,-0.005618,0.009589,0.558028,,-0.000474,-0.005144,0.009469
TKM,Turkmenistan,-0.005600,0.009908,0.572043,,-0.000455,-0.005144,0.009469
ROU,Romania,-0.005588,0.009610,0.561045,,-0.000443,-0.005144,0.009469
MDA,Moldova,-0.005557,0.009550,0.560731,,-0.000413,-0.005144,0.009469
BHR,Bahrain,-0.005420,0.009471,0.567212,,-0.000276,-0.005144,0.009469
EGY,"Egypt, Arab Rep.",-0.005400,0.009909,0.585849,,-0.000256,-0.005144,0.009469
LBY,Libya,-0.005354,0.009665,0.579706,,-0.000209,-0.005144,0.009469
BGR,Bulgaria,-0.005338,0.009946,0.591549,,-0.000193,-0.005144,0.009469
AUT,Austria,-0.005308,0.009653,0.582439,,-0.000164,-0.005144,0.009469
CUB,Cuba,-0.005286,0.009612,0.582461,,-0.000141,-0.005144,0.009469
ARM,Armenia,-0.005257,0.010116,0.603354,,-0.000113,-0.005144,0.009469
PHL,Philippines,-0.005256,0.009470,0.578966,,-0.000112,-0.005144,0.009469
FRA,France,-0.005253,0.009891,0.595409,,-0.000109,-0.005144,0.009469
TJK,Tajikistan,-0.005253,0.009763,0.590631,,-0.000108,-0.005144,0.009469
COD,"Congo, Dem. Rep.",-0.005250,0.009478,0.579685,,-0.000106,-0.005144,0.009469
CAF,Central African Republic,-0.005244,0.009477,0.580140,,-0.000099,-0.005144,0.009469
TUR,Turkiye,-0.005219,0.009472,0.581703,,-0.000075,-0.005144,0.009469
SRB,Serbia,-0.005218,0.009640,0.588438,,-0.000073,-0.005144,0.009469
UZB,Uzbekistan,-0.005213,0.009474,0.582260,,-0.000068,-0.005144,0.009469
BLR,Belarus,-0.005210,0.009477,0.582580,,-0.000066,-0.005144,0.009469
BFA,Burkina Faso,-0.005206,0.009473,0.582718,,-0.000062,-0.005144,0.009469
BRA,Brazil,-0.005204,0.009473,0.582862,,-0.000059,-0.005144,0.009469
MLI,Mali,-0.005201,0.009476,0.583155,,-0.000057,-0.005144,0.009469
SLV,El Salvador,-0.005201,0.009469,0.582879,,-0.000057,-0.005144,0.009469
AFG,Afghanistan,-0.005196,0.009725,0.593211,,-0.000052,-0.005144,0.009469
MOZ,Mozambique,-0.005194,0.009474,0.583575,,-0.000050,-0.005144,0.009469
TTO,Trinidad and Tobago,-0.005193,0.009471,0.583566,,-0.000049,-0.005144,0.009469
VUT,Vanuatu,-0.005192,0.009468,0.583472,,-0.000048,-0.005144,0.009469
DZA,Algeria,-0.005192,0.009646,0.590475,,-0.000048,-0.005144,0.009469
BWA,Botswana,-0.005189,0.009470,0.583809,,-0.000045,-0.005144,0.009469
KHM,Cambodia,-0.005188,0.009473,0.584007,,-0.000044,-0.005144,0.009469
SVN,Slovenia,-0.005186,0.009472,0.584120,,-0.000041,-0.005144,0.009469
NAM,Namibia,-0.005185,0.009470,0.584129,,-0.000040,-0.005144,0.009469
FIN,Finland,-0.005184,0.009469,0.584165,,-0.000039,-0.005144,0.009469
ESP,Spain,-0.005183,0.009470,0.584246,,-0.000039,-0.005144,0.009469
SUR,Suriname,-0.005181,0.009475,0.584583,,-0.000037,-0.005144,0.009469
TLS,Timor-Leste,-0.005181,0.009470,0.584406,,-0.000036,-0.005144,0.009469
ZWE,Zimbabwe,-0.005180,0.009469,0.584417,,-0.000036,-0.005144,0.009469
KWT,Kuwait,-0.005180,0.009479,0.584815,,-0.000036,-0.005144,0.009469
HRV,Croatia,-0.005179,0.009470,0.584517,,-0.000035,-0.005144,0.009469
TZA,Tanzania,-0.005177,0.009471,0.584746,,-0.000032,-0.005144,0.009469
QAT,Qatar,-0.005176,0.009470,0.584759,,-0.000031,-0.005144,0.009469
IDN,Indonesia,-0.005175,0.009470,0.584827,,-0.000031,-0.005144,0.009469
NOR,Norway,-0.005175,0.009470,0.584843,,-0.000030,-0.005144,0.009469
SYC,Seychelles,-0.005174,0.009470,0.584855,,-0.000030,-0.005144,0.009469
CHE,Switzerland,-0.005174,0.009470,0.584906,,-0.000029,-0.005144,0.009469
GNQ,Equatorial Guinea,-0.005169,0.009473,0.585369,,-0.000025,-0.005144,0.009469
BEN,Benin,-0.005169,0.009471,0.585297,,-0.000025,-0.005144,0.009469
JPN,Japan,-0.005169,0.009469,0.585255,,-0.000024,-0.005144,0.009469
HUN,Hungary,-0.005168,0.009468,0.585234,,-0.000024,-0.005144,0.009469
PRT,Portugal,-0.005168,0.009472,0.585420,,-0.000023,-0.005144,0.009469
GEO,Georgia,-0.005167,0.009472,0.585481,,-0.000023,-0.005144,0.009469
GHA,Ghana,-0.005167,0.009470,0.585432,,-0.000022,-0.005144,0.009469
LKA,Sri Lanka,-0.005167,0.009470,0.585427,,-0.000022,-0.005144,0.009469
LSO,Lesotho,-0.005166,0.009470,0.585445,,-0.000022,-0.005144,0.009469
LUX,Luxembourg,-0.005166,0.009472,0.585593,,-0.000021,-0.005144,0.009469
SEN,Senegal,-0.005164,0.009470,0.585638,,-0.000020,-0.005144,0.009469
GTM,Guatemala,-0.005163,0.009471,0.585710,,-0.000019,-0.005144,0.009469
PRY,Paraguay,-0.005163,0.009468,0.585597,,-0.000019,-0.005144,0.009469
CPV,Cabo Verde,-0.005163,0.009471,0.585733,,-0.000019,-0.005144,0.009469
SLE,Sierra Leone,-0.005163,0.009478,0.585991,,-0.000019,-0.005144,0.009469
SWE,Sweden,-0.005162,0.009468,0.585666,,-0.000018,-0.005144,0.009469
CHN,China,-0.005162,0.009467,0.585665,,-0.000017,-0.005144,0.009469
MUS,Mauritius,-0.005161,0.009469,0.585767,,-0.000017,-0.005144,0.009469
GBR,United Kingdom,-0.005161,0.009470,0.585837,,-0.000017,-0.005144,0.009469
USA,United States,-0.005161,0.009471,0.585908,,-0.000016,-0.005144,0.009469
CYP,Cyprus,-0.005160,0.009469,0.585888,,-0.000015,-0.005144,0.009469
IRN,"Iran, Islamic Rep.",-0.005160,0.009467,0.585832,,-0.000015,-0.005144,0.009469
PNG,Papua New Guinea,-0.005159,0.009468,0.585899,,-0.000015,-0.005144,0.009469
CAN,Canada,-0.005159,0.009468,0.585931,,-0.000014,-0.005144,0.009469
COL,Colombia,-0.005158,0.009471,0.586072,,-0.000014,-0.005144,0.009469
COG,"Congo, Rep.",-0.005158,0.009472,0.586144,,-0.000013,-0.005144,0.009469
BRB,Barbados,-0.005157,0.009475,0.586300,,-0.000013,-0.005144,0.009469
HTI,Haiti,-0.005157,0.009480,0.586518,,-0.000012,-0.005144,0.009469
MMR,Myanmar,-0.005156,0.009465,0.586035,,-0.000011,-0.005144,0.009469
GRC,Greece,-0.005156,0.009465,0.586035,,-0.000011,-0.005144,0.009469
ISR,Israel,-0.005155,0.009467,0.586114,,-0.000011,-0.005144,0.009469
TUN,Tunisia,-0.005155,0.009471,0.586315,,-0.000011,-0.005144,0.009469
BGD,Bangladesh,-0.005155,0.009466,0.586152,,-0.000010,-0.005144,0.009469
NER,Niger,-0.005153,0.009470,0.586424,,-0.000009,-0.005144,0.009469
CRI,Costa Rica,-0.005153,0.009474,0.586609,,-0.000008,-0.005144,0.009469
NZL,New Zealand,-0.005152,0.009471,0.586504,,-0.000008,-0.005144,0.009469
SWZ,Eswatini,-0.005152,0.009472,0.586581,,-0.000007,-0.005144,0.009469
ARG,Argentina,-0.005150,0.009476,0.586896,,-0.000005,-0.005144,0.009469
MNG,Mongolia,-0.005149,0.009470,0.586731,,-0.000005,-0.005144,0.009469
UKR,Ukraine,-0.005149,0.009476,0.586966,,-0.000005,-0.005144,0.009469
IND,India,-0.005149,0.009471,0.586777,,-0.000004,-0.005144,0.009469
SLB,Solomon Islands,-0.005148,0.009469,0.586739,,-0.000004,-0.005144,0.009469
LAO,Lao PDR,-0.005148,0.009469,0.586775,,-0.000003,-0.005144,0.009469
SOM,Somalia,-0.005145,0.009467,0.586876,,-0.000001,-0.005144,0.009469
BTN,Bhutan,-0.005145,0.009468,0.586917,,-0.000001,-0.005144,0.009469
KOR,"Korea, Rep.",-0.005145,0.009467,0.586912,,-0.000000,-0.005144,0.009469
SSD,South Sudan,-0.005144,0.009468,0.586968,,0.000000,-0.005144,0.009469
DNK,Denmark,-0.005144,0.009467,0.586954,,0.000000,-0.005144,0.009469
CHL,Chile,-0.005143,0.009472,0.587225,,0.000002,-0.005144,0.009469
ITA,Italy,-0.005141,0.009468,0.587194,,0.000003,-0.005144,0.009469
ISL,Iceland,-0.005140,0.009469,0.587316,,0.000004,-0.005144,0.009469
LBN,Lebanon,-0.005140,0.009473,0.587515,,0.000005,-0.005144,0.009469
PER,Peru,-0.005139,0.009469,0.587370,,0.000005,-0.005144,0.009469
THA,Thailand,-0.005137,0.009483,0.588078,,0.000007,-0.005144,0.009469
JOR,Jordan,-0.005137,0.009485,0.588156,,0.000007,-0.005144,0.009469
URY,Uruguay,-0.005136,0.009468,0.587573,,0.000008,-0.005144,0.009469
ETH,Ethiopia,-0.005135,0.009472,0.587781,,0.000009,-0.005144,0.009469
STP,Sao Tome and Principe,-0.005135,0.009483,0.588263,,0.000010,-0.005144,0.009469
ECU,Ecuador,-0.005133,0.009468,0.587792,,0.000012,-0.005144,0.009469
MWI,Malawi,-0.005133,0.009467,0.587784,,0.000012,-0.005144,0.009469
MDG,Madagascar,-0.005131,0.009468,0.587939,,0.000014,-0.005144,0.009469
EST,Estonia,-0.005130,0.009468,0.587974,,0.000014,-0.005144,0.009469
CIV,Cote d'Ivoire,-0.005129,0.009469,0.588140,,0.000016,-0.005144,0.009469
PAN,Panama,-0.005128,0.009466,0.588107,,0.000017,-0.005144,0.009469
AUS,Australia,-0.005127,0.009468,0.588214,,0.000017,-0.005144,0.009469
