rmax_mult,rmax_val,delta
0.800000,0.004296,
0.900000,0.004833,
1.000000,0.005370,
1.100000,0.005907,60.197717
1.200000,0.006444,30.098859
1.300000,0.006981,20.065906
1.400000,0.007518,15.049429
1.500000,0.008055,12.039543
1.600000,0.008592,10.032953
1.700000,0.009129,8.599674
1.800000,0.009666,7.524715
1.900000,0.010203,6.688635
2.000000,0.010740,6.019772
2.100000,0.011277,5.472520
2.200000,0.011814,5.016476
2.300000,0.012351,4.630594
2.400000,0.012888,4.299837
2.500000,0.013425,4.013181
2.600000,0.013962,3.762357
2.700000,0.014499,3.541042
2.800000,0.015036,3.344318
2.900000,0.015573,3.168301
3.000000,0.016110,3.009886
3.100000,0.016647,2.866558
