tier,year,predictor,coef,se,pval,n,r2,dv_label,sig
T1_no_gdp,2010,const,0.292470,0.036011,0.000000,170,0.739721,,***
T1_no_gdp,2010,gri_state_religion_norm,-0.064177,0.038365,0.094364,170,0.739721,,*
T1_no_gdp,2010,gri_religious_law_norm,0.017700,0.038048,0.641776,170,0.739721,,
T1_no_gdp,2010,gri_blasphemy_norm,-0.016551,0.019331,0.391897,170,0.739721,,
T1_no_gdp,2010,gri_apostasy_norm,-0.122017,0.032479,0.000172,170,0.739721,,***
T1_no_gdp,2010,gri_religious_courts_norm,0.041462,0.021789,0.057052,170,0.739721,,*
T1_no_gdp,2010,v2x_rule_norm,0.063532,0.048310,0.188478,170,0.739721,,
T1_no_gdp,2010,v2x_civlib_norm,0.137981,0.058894,0.019136,170,0.739721,,**
T1_no_gdp,2010,v2x_egal_norm,0.308501,0.065583,0.000003,170,0.739721,,***
T1_with_gdp,2010,const,0.291689,0.039447,0.000000,168,0.758131,,***
T1_with_gdp,2010,gri_state_religion_norm,-0.080134,0.037345,0.031892,168,0.758131,,**
T1_with_gdp,2010,gri_religious_law_norm,0.008219,0.038251,0.829872,168,0.758131,,
T1_with_gdp,2010,gri_blasphemy_norm,-0.026234,0.018766,0.162127,168,0.758131,,
T1_with_gdp,2010,gri_apostasy_norm,-0.127179,0.031812,0.000064,168,0.758131,,***
T1_with_gdp,2010,gri_religious_courts_norm,0.037478,0.021410,0.080038,168,0.758131,,*
T1_with_gdp,2010,v2x_rule_norm,0.012689,0.054544,0.816046,168,0.758131,,
T1_with_gdp,2010,v2x_civlib_norm,0.142536,0.065745,0.030159,168,0.758131,,**
T1_with_gdp,2010,v2x_egal_norm,0.268541,0.064139,0.000028,168,0.758131,,***
T1_with_gdp,2010,log_gdppc_norm,0.128395,0.045273,0.004568,168,0.758131,,***
T1_with_lo,2010,const,0.304311,0.040537,0.000000,168,0.781951,,***
T1_with_lo,2010,gri_state_religion_norm,-0.085898,0.034710,0.013334,168,0.781951,,**
T1_with_lo,2010,gri_religious_law_norm,-0.003635,0.040071,0.927725,168,0.781951,,
T1_with_lo,2010,gri_blasphemy_norm,-0.011096,0.018118,0.540257,168,0.781951,,
T1_with_lo,2010,gri_apostasy_norm,-0.116656,0.030049,0.000104,168,0.781951,,***
T1_with_lo,2010,gri_religious_courts_norm,0.036177,0.020879,0.083151,168,0.781951,,*
T1_with_lo,2010,v2x_rule_norm,0.063599,0.056913,0.263791,168,0.781951,,
T1_with_lo,2010,v2x_civlib_norm,0.149665,0.065777,0.022885,168,0.781951,,**
T1_with_lo,2010,v2x_egal_norm,0.208822,0.067002,0.001829,168,0.781951,,***
T1_with_lo,2010,log_gdppc_norm,0.086985,0.044950,0.052975,168,0.781951,,*
T1_with_lo,2010,lo_english,-0.012194,0.019137,0.523991,168,0.781951,,
