tier,year,predictor,coef,se,pval,n,r2,dv_label,sig
T1_no_gdp,2020,const,0.565208,0.038016,0.000000,178,0.555344,,***
T1_no_gdp,2020,gri_state_religion_norm,-0.051770,0.042177,0.219655,178,0.555344,,
T1_no_gdp,2020,gri_religious_law_norm,0.075442,0.051982,0.146697,178,0.555344,,
T1_no_gdp,2020,gri_blasphemy_norm,-0.055690,0.017002,0.001055,178,0.555344,,***
T1_no_gdp,2020,gri_apostasy_norm,-0.165880,0.041159,0.000056,178,0.555344,,***
T1_no_gdp,2020,gri_religious_courts_norm,-0.002634,0.026961,0.922184,178,0.555344,,
T1_no_gdp,2020,v2x_rule_norm,0.144873,0.062125,0.019703,178,0.555344,,**
T1_no_gdp,2020,v2x_civlib_norm,-0.024114,0.056972,0.672106,178,0.555344,,
T1_no_gdp,2020,v2x_egal_norm,0.171985,0.059201,0.003671,178,0.555344,,***
T1_with_gdp,2020,const,0.529697,0.041234,0.000000,170,0.562682,,***
T1_with_gdp,2020,gri_state_religion_norm,-0.056954,0.042823,0.183523,170,0.562682,,
T1_with_gdp,2020,gri_religious_law_norm,0.072701,0.051501,0.158059,170,0.562682,,
T1_with_gdp,2020,gri_blasphemy_norm,-0.048925,0.016374,0.002808,170,0.562682,,***
T1_with_gdp,2020,gri_apostasy_norm,-0.159038,0.046080,0.000558,170,0.562682,,***
T1_with_gdp,2020,gri_religious_courts_norm,0.006269,0.022679,0.782234,170,0.562682,,
T1_with_gdp,2020,v2x_rule_norm,0.080719,0.071320,0.257725,170,0.562682,,
T1_with_gdp,2020,v2x_civlib_norm,0.037765,0.065150,0.562139,170,0.562682,,
T1_with_gdp,2020,v2x_egal_norm,0.119980,0.058105,0.038933,170,0.562682,,**
T1_with_gdp,2020,log_gdppc_norm,0.119362,0.050758,0.018694,170,0.562682,,**
T1_with_lo,2020,const,0.542695,0.042282,0.000000,170,0.577280,,***
T1_with_lo,2020,gri_state_religion_norm,-0.055168,0.045021,0.220430,170,0.577280,,
T1_with_lo,2020,gri_religious_law_norm,0.057355,0.052603,0.275564,170,0.577280,,
T1_with_lo,2020,gri_blasphemy_norm,-0.041310,0.017038,0.015328,170,0.577280,,**
T1_with_lo,2020,gri_apostasy_norm,-0.149331,0.045333,0.000987,170,0.577280,,***
T1_with_lo,2020,gri_religious_courts_norm,0.001586,0.022459,0.943706,170,0.577280,,
T1_with_lo,2020,v2x_rule_norm,0.109435,0.069918,0.117538,170,0.577280,,
T1_with_lo,2020,v2x_civlib_norm,0.039602,0.066136,0.549308,170,0.577280,,
T1_with_lo,2020,v2x_egal_norm,0.079049,0.061328,0.197411,170,0.577280,,
T1_with_lo,2020,log_gdppc_norm,0.089954,0.052224,0.084985,170,0.577280,,*
T1_with_lo,2020,lo_english,-0.009275,0.021179,0.661448,170,0.577280,,
T1_with_lo,2020,lo_german,0.038226,0.021548,0.076058,170,0.577280,,*
T1_with_lo,2020,lo_scandinavian,0.077806,0.027857,0.005222,170,0.577280,,***
T1_with_lo,2020,lo_socialist,0.035172,0.026333,0.181648,170,0.577280,,
T2_gri_only,all,const,0.675240,0.003672,0.000000,1990,0.006112,,***
T2_gri_only,all,gri_state_religion_norm,0.016575,0.019476,0.394864,1990,0.006112,,
T2_gri_only,all,gri_religious_law_norm,0.010179,0.006745,0.131432,1990,0.006112,,
T2_gri_only,all,gri_blasphemy_norm,-0.003721,0.003911,0.341497,1990,0.006112,,
T2_gri_only,all,gri_apostasy_norm,-0.017628,0.007507,0.018976,1990,0.006112,,**
T2_gri_only,all,gri_religious_courts_norm,-0.006499,0.008827,0.461699,1990,0.006112,,
T2_gri_gdp,all,const,0.655858,0.036266,0.000000,1908,0.005821,,***
T2_gri_gdp,all,gri_state_religion_norm,0.007584,0.017656,0.667575,1908,0.005821,,
T2_gri_gdp,all,gri_religious_law_norm,0.011773,0.006892,0.087782,1908,0.005821,,*
T2_gri_gdp,all,gri_blasphemy_norm,-0.003273,0.003888,0.400030,1908,0.005821,,
T2_gri_gdp,all,gri_apostasy_norm,-0.020562,0.008120,0.011423,1908,0.005821,,**
T2_gri_gdp,all,gri_religious_courts_norm,-0.005934,0.009181,0.518146,1908,0.005821,,
T2_gri_gdp,all,log_gdppc_norm,0.051307,0.073583,0.485735,1908,0.005821,,
T2_no_gdp,all,const,0.682054,0.015080,0.000000,1780,0.005890,,***
T2_no_gdp,all,gri_state_religion_norm,0.015679,0.019068,0.411058,1780,0.005890,,
T2_no_gdp,all,gri_religious_law_norm,0.010468,0.006879,0.128265,1780,0.005890,,
T2_no_gdp,all,gri_blasphemy_norm,-0.000941,0.003604,0.794011,1780,0.005890,,
T2_no_gdp,all,gri_apostasy_norm,-0.018075,0.008599,0.035709,1780,0.005890,,**
T2_no_gdp,all,gri_religious_courts_norm,-0.005737,0.009069,0.527100,1780,0.005890,,
T2_no_gdp,all,v2x_rule_norm,0.017944,0.027650,0.516443,1780,0.005890,,
T2_no_gdp,all,v2x_civlib_norm,-0.013764,0.034920,0.693527,1780,0.005890,,
T2_no_gdp,all,v2x_egal_norm,-0.002990,0.032111,0.925818,1780,0.005890,,
T2_with_gdp,all,const,0.682641,0.036964,0.000000,1708,0.005370,,***
T2_with_gdp,all,gri_state_religion_norm,0.006343,0.017251,0.713154,1708,0.005370,,
T2_with_gdp,all,gri_religious_law_norm,0.011671,0.007147,0.102672,1708,0.005370,,
T2_with_gdp,all,gri_blasphemy_norm,-0.001531,0.003668,0.676500,1708,0.005370,,
